Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Sécurités;SB;152.0;Gendarmerie nationale;01;Ordre et sécurité publics;02;Ordre et sécurité publics -  administration centrale et cabinet;21.0;2;9255672.0;9255672.0;0.0;0.0;Intérieur et outre-mer
BG;Sécurités;SB;152.0;Gendarmerie nationale;05;Exercice des missions militaires;01;Exercice des missions militaires - hors administration centrale et cabinet;22.0;2;84180050.0;84180050.0;0.0;0.0;Intérieur et outre-mer
BG;Sécurités;SB;161.0;Sécurité civile;13;Soutien aux acteurs de la sécurité civile;;;31.0;3;14027004.0;14027004.0;0.0;0.0;Intérieur et outre-mer
BG;Sécurités;SB;176.0;Police nationale;06;Commandement, ressources humaines et logistique;07;Soutien (autres dépenses);21.0;2;398128293.0;398128293.0;0.0;0.0;Intérieur et outre-mer
BG;Transformation et fonction publiques;TR;349.0;Transformation publique;01;Fonds pour la transformation de l'action publique;;;21.0;2;1500000.0;1500000.0;0.0;0.0;Transformation et fonction publiques
BG;Travail et emploi;TB;103.0;Accompagnement des mutations économiques et développement de l'emploi;01;Développement des compétences par l'alternance;01;Dispositifs de soutien au déploiement de l'apprentissage;64.0;6;69614332.0;72074166.0;0.0;0.0;Travail, plein emploi et insertion
BG;Travail et emploi;TB;111.0;Amélioration de la qualité de l'emploi et des relations du travail;01;Santé et sécurité au travail;;;62.0;6;3200000.0;3200000.0;0.0;0.0;Travail, plein emploi et insertion
BA;Contrôle et exploitation aériens;XC;614.0;Transports aériens, surveillance et certification;01;Développement durable et régulation;;;31.0;3;10494056.0;10573770.0;2275000.0;2275000.0;Transition écologique et cohésion des territoires
BA;Publications officielles et information administrative;XJ;623.0;Édition et diffusion;01;Accès au droit et diffusion légale;;;51.0;5;2200000.0;2200000.0;0.0;0.0;Services du Premier ministre
BA;Publications officielles et information administrative;XJ;624.0;Pilotage et ressources humaines;03;Dépenses de personnel;;;21.0;2;29866033.0;29866033.0;0.0;0.0;Services du Premier ministre
