Première 2020,Effectifs
HISTOIRE_DES_ARTS LANGUES_LITTERATURE LITTERATURE_LCA_GREC,1
HISTOIRE_DES_ARTS LANGUES_LITTERATURE LITTERATURE_LCA_LATIN,1
HISTOIRE_DES_ARTS LANGUES_LITTERATURE SCIENCES_INGENIEUR,1
HISTOIRE_DES_ARTS LITTERATURE_LCA_GREC PHYSIQUE_CHIMIE,1
HISTOIRE_DES_ARTS LITTERATURE_LCA_LATIN MATHS,1
HISTOIRE_DES_ARTS NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR,1
HISTOIRE_DES_ARTS PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,1
HISTOIRE_DES_ARTS SCIENCES_INGENIEUR SES,1
HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO BIOLOGIE_ECOLOGIE,1
HISTOIRE_GEO_POLITIQUE PHYSIQUE_CHIMIE BIOLOGIE_ECOLOGIE,1
HISTOIRE_GEO_POLITIQUE SVT BIOLOGIE_ECOLOGIE,1
HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE BIOLOGIE_ECOLOGIE,1
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC PHYSIQUE_CHIMIE,1
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN NUMERIQUE_SCIENCES_INFORMATIQUES,1
HUMANITES_LITTERATURE_PHILO SVT BIOLOGIE_ECOLOGIE,1
LANGUES_LITTERATURE MATHS BIOLOGIE_ECOLOGIE,1
LANGUES_LITTERATURE SES BIOLOGIE_ECOLOGIE,1
LANGUES_LITTERATURE SVT BIOLOGIE_ECOLOGIE,1
LITTERATURE_LCA_GREC MATHS SES,1
LITTERATURE_LCA_LATIN MATHS SCIENCES_INGENIEUR,1
LITTERATURE_LCA_LATIN PHYSIQUE_CHIMIE SES,1
LITTERATURE_LCA_LATIN SCIENCES_INGENIEUR SES,1
MUSIQUE HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN,1
MUSIQUE HISTOIRE_GEO_POLITIQUE PHYSIQUE_CHIMIE,1
MUSIQUE HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC,1
MUSIQUE LANGUES_LITTERATURE LITTERATURE_LCA_GREC,1
MUSIQUE LITTERATURE_LCA_GREC SES,1
MUSIQUE LITTERATURE_LCA_LATIN SES,1
MUSIQUE NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR,1
MUSIQUE PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,1
PHYSIQUE_CHIMIE SES BIOLOGIE_ECOLOGIE,1
THEATRE HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN,1
THEATRE HUMANITES_LITTERATURE_PHILO SCIENCES_INGENIEUR,1
THEATRE LANGUES_LITTERATURE LITTERATURE_LCA_GREC,1
THEATRE LANGUES_LITTERATURE SCIENCES_INGENIEUR,1
THEATRE LITTERATURE_LCA_LATIN MATHS,1
THEATRE NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,1
THEATRE SVT SCIENCES_INGENIEUR,1
