Première 2019,Effectifs
Cinema Histoire_Des_Arts Humanités_Littérature_Philo,2
Cinema SVT Sciences_Ingénieur,2
Cinema Theatre Humanités_Littérature_Philo,2
Danse Langues_Littérature Numérique_Sciences_Informatiques,2
Danse Langues_Littérature Physique_Chimie,2
Danse Maths Numérique_Sciences_Informatiques,2
Danse Maths Sciences_Ingénieur,2
Histoire_Des_Arts Histoire_Géo_Politique Numérique_Sciences_Informatiques,2
Histoire_Des_Arts Littérature_Lca_Latin Maths,2
Histoire_Des_Arts Sciences_Ingénieur SES,2
Humanités_Littérature_Philo Littérature_Lca_Grec Numérique_Sciences_Informatiques,2
Langues_Littérature Littérature_Lca_Grec Maths,2
Langues_Littérature Littérature_Lca_Grec SVT,2
Langues_Littérature Littérature_Lca_Latin Numérique_Sciences_Informatiques,2
Littérature_Lca_Latin Littérature_Lca_Grec SVT,2
Littérature_Lca_Latin Numérique_Sciences_Informatiques SES,2
Musique Humanités_Littérature_Philo Littérature_Lca_Latin,2
Musique Numérique_Sciences_Informatiques Sciences_Ingénieur,2
Theatre Histoire_Géo_Politique Littérature_Lca_Latin,2
2LLCER Physique_Chimie,1
2LLCER Theatre,1
Arts_Du_Cirque Humanités_Littérature_Philo SES,1
Arts_Du_Cirque Langues_Littérature Numérique_Sciences_Informatiques,1
Arts_Du_Cirque Langues_Littérature SES,1
Arts_Du_Cirque Langues_Littérature SVT,1
Arts_Du_Cirque Maths Numérique_Sciences_Informatiques,1
Arts_Du_Cirque Maths SES,1
Arts_Du_Cirque Maths SVT,1
Arts_Du_Cirque Physique_Chimie SES,1
Arts_Du_Cirque Physique_Chimie SVT,1
Arts_Pla Arts_Du_Cirque Humanités_Littérature_Philo,1
Arts_Pla Arts_Du_Cirque Langues_Littérature,1
Arts_Pla Cinema Humanités_Littérature_Philo,1
Arts_Pla Cinema Maths,1
Arts_Pla Cinema Numérique_Sciences_Informatiques,1
Arts_Pla Histoire_Des_Arts Humanités_Littérature_Philo,1
Arts_Pla Histoire_Des_Arts Langues_Littérature,1
Arts_Pla Littérature_Lca_Grec SES,1
Arts_Pla Littérature_Lca_Latin SES,1
Arts_Pla Littérature_Lca_Latin SVT,1
Arts_Pla Musique Histoire_Géo_Politique,1
Arts_Pla Musique SVT,1
Arts_Pla Theatre Langues_Littérature,1
Arts_Pla Theatre SVT,1
Cinema Histoire_Des_Arts Histoire_Géo_Politique,1
Cinema Histoire_Des_Arts Numérique_Sciences_Informatiques,1
Cinema Histoire_Des_Arts SES,1
Cinema Histoire_Des_Arts SVT,1
Cinema Histoire_Géo_Politique Littérature_Lca_Latin,1
Cinema Histoire_Géo_Politique Sciences_Ingénieur,1
Cinema Humanités_Littérature_Philo Littérature_Lca_Grec,1
Cinema Littérature_Lca_Latin SVT,1
Cinema Physique_Chimie Sciences_Ingénieur,1
Danse Humanités_Littérature_Philo Littérature_Lca_Latin,1
Danse Humanités_Littérature_Philo Numérique_Sciences_Informatiques,1
Danse Humanités_Littérature_Philo Physique_Chimie,1
Danse Langues_Littérature Littérature_Lca_Latin,1
Danse Littérature_Lca_Latin SES,1
Danse Numérique_Sciences_Informatiques SES,1
Danse Numérique_Sciences_Informatiques SVT,1
Danse Physique_Chimie SES,1
Histoire_Des_Arts Histoire_Géo_Politique Littérature_Lca_Grec,1
Histoire_Des_Arts Histoire_Géo_Politique Sciences_Ingénieur,1
Histoire_Des_Arts Humanités_Littérature_Philo Littérature_Lca_Grec,1
Histoire_Des_Arts Langues_Littérature Littérature_Lca_Grec,1
Histoire_Des_Arts Langues_Littérature Sciences_Ingénieur,1
Histoire_Des_Arts Littérature_Lca_Grec SVT,1
Histoire_Des_Arts Littérature_Lca_Latin Numérique_Sciences_Informatiques,1
Histoire_Des_Arts Musique Histoire_Géo_Politique,1
Histoire_Des_Arts Musique Humanités_Littérature_Philo,1
Histoire_Des_Arts Musique Langues_Littérature,1
Histoire_Des_Arts Musique Physique_Chimie,1
Histoire_Des_Arts Musique SVT,1
Histoire_Des_Arts Numérique_Sciences_Informatiques Sciences_Ingénieur,1
Histoire_Des_Arts Theatre Langues_Littérature,1
Histoire_Géo_Politique Physique_Chimie Biologie_Ecologie,1
Langues_Littérature Littérature_Lca_Grec Numérique_Sciences_Informatiques,1
Littérature_Lca_Grec Numérique_Sciences_Informatiques SVT,1
Littérature_Lca_Grec Physique_Chimie SES,1
Littérature_Lca_Latin Maths Sciences_Ingénieur,1
Littérature_Lca_Latin Physique_Chimie SES,1
Musique Histoire_Géo_Politique Numérique_Sciences_Informatiques,1
Musique Langues_Littérature Littérature_Lca_Grec,1
Musique Langues_Littérature Littérature_Lca_Latin,1
Musique Physique_Chimie Sciences_Ingénieur,1
Physique_Chimie SVT Biologie_Ecologie,1
Theatre Langues_Littérature Sciences_Ingénieur,1
Theatre Numérique_Sciences_Informatiques Physique_Chimie,1
Theatre Sciences_Ingénieur SES,1
Theatre SVT Sciences_Ingénieur,1
