"siren";"siret";"Etablissement"
"197506611";"19750661100049";"École nationale supérieure Louis Lumière"
"197507734";"19750773400022";"École nationale supérieure des arts et techniques du théâtre"
"197512346";"19751234600044";"Institut national du patrimoine"
"197517170";"19751717000019";"Université Paris 1 - Panthéon Sorbonne"
"197517188";"19751718800011";"Université Panthéon-Assas"
"197517196";"19751719600014";"Université Sorbonne Nouvelle - Paris 3"
"197518756";"19751875600014";"École nationale supérieure d'architecture de Paris-La Villette"
"197518772";"19751877200037";"École nationale supérieure d'architecture de Paris-Belleville"
"197534316";"19753431600017";"Sciences Po"
"197534639";"19753463900020";"Institut national du service public"
"197534704";"19753470400014";"École nationale supérieure des arts décoratifs"
"197534712";"19753471200017";"Conservatoire national des arts et métiers"
"197534720";"19753472000010";"Arts et Métiers Sciences et Technologies"
"197534803";"19753480300014";"Collège de France"
"197534886";"19753488600092";"Institut national des langues et civilisations orientales"
"197534951";"19753495100037";"Conservatoire national supérieur de musique et de danse de Paris"
"197535016";"19753501600020";"École nationale des ponts et chaussées"
"197536675";"19753667500014";"Ecole Nationale Supérieure des Beaux-Arts de Paris"
"197537426";"19753742600011";"École des hautes études en sciences sociales"
"197537426";"19753742600011,19753742600037";"École des hautes études en sciences sociales"
"197537426";"19753742600037";"École des hautes études en sciences sociales"
"197546872";"19754687200015";"École du Louvre"
"197546880";"19754688000018";"Institut national d'histoire de l'art"
"197601644";"19760164400028";"École nationale supérieure d'architecture de Normandie"
"197601651";"19760165100023";"Institut national des sciences appliquées de Rouen Normandie"
"197619042";"19761904200017";"Université de Rouen Normandie"
"197627623";"19762762300097";"Université Le Havre Normandie"
"197804123";"19780412300028";"École nationale supérieure d’architecture de Versailles"
"197819444";"19781944400013";"Université de Versailles Saint-Quentin-en-Yvelines"
"197820194";"19782019400029";"École nationale supérieure de paysage"
"198013443";"19801344300017";"Université de Picardie Jules-Verne"
"198112013";"19811201300018";"Institut national universitaire Jean-François Champollion"
"198307662";"19830766200017";"Université de Toulon"
"198406852";"19840685200204";"Avignon Université"
"198600736";"19860073600021";"École nationale supérieure de mécanique et d'aérotechnique de Poitiers"
"198608564";"19860856400375";"Université de Poitiers"
"198706699";"19870669900321";"Université de Limoges"
"199003567";"19900356700013";"Université de technologie de Belfort-Montbéliard"
"199106857";"19910685700014";"Institut national des sciences et techniques nucléaires"
"199115684";"19911568400011";"Institut polytechnique de Paris"
"199119751";"19911975100014";"Université d'Évry-Val-d'Essonne"
"199212044";"19921204400010";"Université Paris Nanterre"
"199306036";"19930603600013";"ISAE-Supméca"
"199312380";"19931238000017";"Université Sorbonne Paris Nord"
"199318270";"19931827000014";"Université Paris 8 - Vincennes - Saint-Denis"
"199406083";"19940608300014";"École nationale vétérinaire d'Alfort"
"199411117";"19941111700013";"Université Paris-Est Créteil"
"199513763";"19951376300011";"École nationale supérieure de l'électronique et de ses applications de Cergy"
"199715855";"19971585500011";"Université des Antilles"
"199744780";"19974478000016";"Université de La Réunion"
"199870015";"19987001500013";"Université de la Polynésie Française"
"200027084";"20002708400017";"École supérieure d'art et de design d'Amiens"
"200027373";"20002737300014";"École supérieure d'art et de design de Reims"
"200027647";"20002764700037";"École supérieure d'art et design Le Havre-Rouen"
"200028124";"20002812400028";"Haute école des arts du Rhin"
"200028132";"20002813200013";"École supérieure d'arts et médias de Caen - Cherbourg"
"200028843";"20002884300015";"Institut supérieur des arts de Toulouse"
"200039188";"20003918800012";"Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt"
"218000198";"21800019801438";"École supérieure d'art et de design d'Amiens"
"311349138";"31134913800017";"École supérieure d'informatique électronique automatique"
"312381015";"31238101500014";"Institut protestant de théologie"
"320140551";"32014055100021";"Institut textile et chimique"
"325002111";"32500211100012";"École spéciale des travaux publics, du bâtiment et de l'industrie"
"326930062";"32693006200012";"Institut catholique de Lyon"
"326930062";"32693006200145";"Institut catholique de Lyon"
"326930062";"32693006200145,32693006200012";"Institut catholique de Lyon"
"329491476";"32949147600019";"Institut des relations publiques et de la communication d’Angers"
"331118760";"33111876000015";"École nationale supérieure de création industrielle - Les Ateliers"
"333452985";"33345298500034";"Institut français de la mode"
"341372522";"34137252200019";"Centre national des arts du cirque"
"342382637";"34238263700011";"École supérieure d’agriculture"
"343592721";"34359272100017";"ISMANS"
