ANNEE;SEXE;AGEQ;POPACTBIT;TACTBIT
1981;E;T20;3268;77.8
1981;E;T25;3530;82.5
1981;E;T2549;14709;81.9
1981;E;T30;3673;83.3
1981;E;T35;2622;83.3
1981;E;T40;2380;81.4
1981;E;T45;2503;78.2
1981;E;T50;2354;73.2
1981;E;T5064;4755;57.7
1981;E;T55;1836;60.4
1981;E;T5564;2401;47.8
1981;E;T60;565;28.6
1981;E;T65;195;9.0
1981;E;T70;142;2.9
1982;H;T;14369;70.8
1982;H;T15;761;34.0
1982;H;T1524;2543;58.4
1982;H;T1564;14204;80.9
1982;H;T20;1781;84.1
1982;H;T25;2031;95.5
1982;H;T2549;8821;96.9
1982;H;T30;2185;97.4
1982;H;T35;1705;97.9
1982;H;T40;1409;97.3
1982;H;T45;1490;96.4
1982;H;T50;1421;89.9
1982;H;T5064;2840;69.2
1982;H;T55;1057;72.3
1982;H;T5564;1419;56.2
1982;H;T60;362;34.1
1982;H;T65;94;11.1
1982;H;T70;72;3.8
1982;F;T;10147;46.2
1982;F;T15;537;24.8
1982;F;T1524;2067;48.1
1982;F;T1564;10050;56.5
1982;F;T20;1530;71.6
1982;F;T25;1511;70.6
1982;F;T2549;6124;68.1
1982;F;T30;1545;70.3
1982;F;T35;1159;68.3
1982;F;T40;952;66.9
1982;F;T45;957;62.1
1982;F;T50;934;56.2
1982;F;T5064;1859;41.5
1982;F;T55;678;42.7
1982;F;T5564;925;32.8
1982;F;T60;247;20.1
1982;F;T65;47;4.5
1982;F;T70;50;1.6
1982;E;T;24516;58.0
1982;E;T15;1298;29.5
1982;E;T1524;4609;53.3
1982;E;T1564;24253;68.6
1982;E;T20;3311;77.8
1982;E;T25;3543;83.0
1982;E;T2549;14945;82.5
1982;E;T30;3730;84.0
1982;E;T35;2865;83.3
1982;E;T40;2360;82.2
1982;E;T45;2448;79.3
1982;E;T50;2355;72.7
1982;E;T5064;4698;54.8
1982;E;T55;1735;56.9
1982;E;T5564;2343;43.9
1982;E;T60;609;26.6
1982;E;T65;141;7.4
1982;E;T70;122;2.4
1983;H;T;14325;69.9
1983;H;T15;726;32.1
1983;H;T1524;2534;58.0
1983;H;T1564;14183;79.7
1983;H;T20;1808;85.6
1983;H;T25;2009;95.6
1983;H;T2549;8892;96.9
1983;H;T30;2148;97.0
1983;H;T35;1849;98.0
1983;H;T40;1407;97.6
1983;H;T45;1478;96.5
1983;H;T50;1422;90.3
1983;H;T5064;2757;64.9
1983;H;T55;973;66.4
1983;H;T5564;1335;50.0
1983;H;T60;362;30.0
1983;H;T65;74;9.6
1983;H;T70;69;3.6
1983;F;T;10236;46.1
1983;F;T15;508;23.5
1983;F;T1524;2043;47.4
1983;F;T1564;10147;56.3
1983;F;T20;1535;71.5
1983;F;T25;1525;71.9
1983;F;T2549;6313;69.3
1983;F;T30;1558;71.1
1983;F;T35;1277;69.7
1983;F;T40;982;68.1
1983;F;T45;970;63.5
1983;F;T50;902;55.6
1983;F;T5064;1791;38.8
1983;F;T55;647;40.0
1983;F;T5564;889;29.7
1983;F;T60;242;17.7
1983;F;T65;38;4.1
1983;F;T70;50;1.6
1983;E;T;24561;57.5
1983;E;T15;1233;27.9
1983;E;T1524;4577;52.7
1983;E;T1564;24329;67.9
1983;E;T20;3344;78.5
1983;E;T25;3535;83.7
1983;E;T2549;15204;83.1
1983;E;T30;3706;84.1
1983;E;T35;3126;84.0
1983;E;T40;2389;82.9
1983;E;T45;2449;80.0
1983;E;T50;2324;72.7
1983;E;T5064;4548;51.3
1983;E;T55;1619;52.6
1983;E;T5564;2224;39.3
1983;E;T60;605;23.4
1983;E;T65;112;6.5
1983;E;T70;120;2.3
1984;H;T;14268;69.0
1984;H;T15;663;29.4
1984;H;T1524;2457;55.9
1984;H;T1564;14127;78.4
1984;H;T20;1794;83.8
1984;H;T25;2004;95.2
1984;H;T2549;8989;96.7
1984;H;T30;2107;96.6
1984;H;T35;1979;97.9
1984;H;T40;1425;97.3
1984;H;T45;1474;96.9
1984;H;T50;1392;89.5
1984;H;T5064;2681;61.8
1984;H;T55;930;63.3
1984;H;T5564;1289;46.3
1984;H;T60;359;27.4
1984;H;T65;71;10.5
1984;H;T70;70;3.5
1984;F;T;10405;46.5
1984;F;T15;461;21.4
1984;F;T1524;2009;46.7
1984;F;T1564;10318;56.4
1984;F;T20;1548;72.0
1984;F;T25;1571;73.0
1984;F;T2549;6518;70.5
1984;F;T30;1565;72.2
1984;F;T35;1385;70.6
1984;F;T40;1018;70.6
1984;F;T45;979;64.4
1984;F;T50;916;56.0
1984;F;T5064;1792;37.8
1984;F;T55;629;39.8
1984;F;T5564;875;28.2
1984;F;T60;246;16.2
1984;F;T65;36;4.3
1984;F;T70;50;1.5
1984;E;T;24673;57.3
1984;E;T15;1124;25.5
1984;E;T1524;4466;51.4
1984;E;T1564;24445;67.3
1984;E;T20;3342;77.9
1984;E;T25;3575;84.0
1984;E;T2549;15506;83.6
1984;E;T30;3672;84.4
1984;E;T35;3363;84.5
1984;E;T40;2442;84.1
1984;E;T45;2454;80.6
1984;E;T50;2308;72.3
1984;E;T5064;4473;49.3
1984;E;T55;1559;51.1
1984;E;T5564;2165;36.8
1984;E;T60;605;21.4
1984;E;T65;108;7.1
1984;E;T70;120;2.3
1985;H;T;14331;68.7
1985;H;T15;646;28.8
1985;H;T1524;2445;55.5
1985;H;T1564;14204;78.1
1985;H;T20;1799;83.4
1985;H;T25;2018;95.2
1985;H;T2549;9096;96.7
1985;H;T30;2081;96.7
1985;H;T35;2118;97.8
1985;H;T40;1423;97.4
1985;H;T45;1457;96.6
1985;H;T50;1387;89.4
1985;H;T5064;2663;60.7
1985;H;T55;927;63.1
1985;H;T5564;1276;45.1
1985;H;T60;350;25.6
1985;H;T65;63;9.4
1985;H;T70;64;3.2
1985;F;T;10513;46.6
1985;F;T15;439;20.4
1985;F;T1524;1988;46.0
1985;F;T1564;10428;56.5
1985;F;T20;1548;71.7
1985;F;T25;1574;73.0
1985;F;T2549;6670;71.3
1985;F;T30;1566;72.2
1985;F;T35;1522;72.5
1985;F;T40;1031;71.3
1985;F;T45;976;65.7
1985;F;T50;897;55.8
1985;F;T5064;1771;37.0
1985;F;T55;626;39.4
1985;F;T5564;873;27.5
1985;F;T60;247;15.6
1985;F;T65;41;4.7
1985;F;T70;44;1.3
1985;E;T;24844;57.2
1985;E;T15;1085;24.7
1985;E;T1524;4433;50.8
1985;E;T1564;24633;67.2
1985;E;T20;3348;77.5
1985;E;T25;3592;84.0
1985;E;T2549;15766;84.0
1985;E;T30;3648;84.4
1985;E;T35;3640;85.3
1985;E;T40;2454;84.4
1985;E;T45;2432;81.3
1985;E;T50;2284;72.3
1985;E;T5064;4434;48.4
1985;E;T55;1553;50.8
1985;E;T5564;2150;35.8
1985;E;T60;597;20.2
1985;E;T65;104;6.8
1985;E;T70;107;2.0
1986;H;T;14357;68.3
1986;H;T15;596;26.8
1986;H;T1524;2401;54.6
1986;H;T1564;14229;77.9
1986;H;T20;1805;83.1
1986;H;T25;2044;95.5
1986;H;T2549;9189;96.8
1986;H;T30;2049;96.7
1986;H;T35;2194;97.9
1986;H;T40;1534;97.5
1986;H;T45;1368;96.1
1986;H;T50;1379;88.8
1986;H;T5064;2639;60.3
1986;H;T55;948;64.0
