Code UAI,Etablissement,Rentrée,Charge totale d'enseignement,Heures complémentaires,Heures complémentaires des permanents,Heures des vacataires,Heures complémentaires payables
0597132G,Université Polytechnique Hauts-de-France,2016,,123789.0,,,
0597132G,Université Polytechnique Hauts-de-France,2017,,129456.0,,,
0597132G,Université Polytechnique Hauts-de-France,2018,,137316.0,,,
0597132G,Université Polytechnique Hauts-de-France,2019,,135661.0,,,
0313124C,Université Toulouse Capitole,2008,,,24675.0,,
0313124C,Université Toulouse Capitole,2009,,,21588.0,,
0313124C,Université Toulouse Capitole,2010,,,20865.0,,
0313124C,Université Toulouse Capitole,2011,,,33940.0,54522.0,
0313124C,Université Toulouse Capitole,2012,,94209.0,35304.0,58905.0,
0313124C,Université Toulouse Capitole,2013,201698.0,102000.0,41907.0,60093.0,
0313124C,Université Toulouse Capitole,2014,205381.0,107036.0,42188.0,64848.0,
0313124C,Université Toulouse Capitole,2015,208217.0,108033.0,43929.0,64104.0,
0313124C,Université Toulouse Capitole,2016,204405.0,106194.0,43427.0,62767.0,
0313124C,Université Toulouse Capitole,2017,211394.0,110079.0,46712.0,63367.0,
0313124C,Université Toulouse Capitole,2018,212116.0,112046.0,47349.0,64697.0,
0313124C,Université Toulouse Capitole,2019,217608.0,118572.0,50859.0,67713.0,
0490970N,Université d'Angers,2014,,125060.0,52989.0,72071.0,
0490970N,Université d'Angers,2015,,126905.0,56909.0,69996.0,
0490970N,Université d'Angers,2016,,135010.0,60907.0,74103.0,
0490970N,Université d'Angers,2017,,139800.0,63406.0,76394.0,
0490970N,Université d'Angers,2018,,137154.0,62523.0,74632.0,
0211237F,Université de Bourgogne,2019,451932.0,184895.0,90338.0,94557.0,
0211237F,Université de Bourgogne,2020,455092.0,183288.0,89086.0,94203.0,
0141408E,Université de Caen Normandie,2019,,197513.0,86906.0,110607.0,
0911975C,Université d'Évry-Val-d'Essonne,2012,,134124.0,,,
0911975C,Université d'Évry-Val-d'Essonne,2013,,126766.0,,,
0911975C,Université d'Évry-Val-d'Essonne,2014,,118968.0,,,
0911975C,Université d'Évry-Val-d'Essonne,2015,,115424.0,,,
0911975C,Université d'Évry-Val-d'Essonne,2016,,119149.0,41566.0,77583.0,
0911975C,Université d'Évry-Val-d'Essonne,2017,,130740.0,52917.0,77823.0,
0772894C,Université Gustave Eiffel,2017,,89493.0,27760.0,61733.0,
0772894C,Université Gustave Eiffel,2018,,100459.0,33534.0,66925.0,
9740478B,Université de La Réunion,2010,,78832.0,,,
9740478B,Université de La Réunion,2011,,80400.0,,,
9740478B,Université de La Réunion,2012,,80493.0,,,
9740478B,Université de La Réunion,2013,,83832.0,,,
9740478B,Université de La Réunion,2014,,81027.0,,,
9740478B,Université de La Réunion,2015,,80911.0,,,
9740478B,Université de La Réunion,2016,,63425.0,,,
9740478B,Université de La Réunion,2018,,72664.0,,,
0762762P,Université Le Havre Normandie,2018,,67644.0,,,
0597239Y,Université de Lille,2018,,392528.0,197177.0,195352.0,
0542493S,Université de Lorraine,2014,,367109.0,192019.0,175090.0,
0542493S,Université de Lorraine,2015,,374455.0,196443.0,178012.0,
0542493S,Université de Lorraine,2016,,389511.0,201042.0,188469.0,
0542493S,Université de Lorraine,2017,,391692.0,200996.0,190696.0,
0542493S,Université de Lorraine,2018,,403481.0,198042.0,205439.0,
0542493S,Université de Lorraine,2019,,484726.0,245021.0,239705.0,
0691774D,Université Claude Bernard - Lyon 1,2011,,187928.0,94419.0,93509.0,
0691774D,Université Claude Bernard - Lyon 1,2012,,206281.0,101991.0,104290.0,
0692437Z,Université Jean Moulin - Lyon 3,2013,,116066.0,,,
0692437Z,Université Jean Moulin - Lyon 3,2014,,120455.0,,,
0692437Z,Université Jean Moulin - Lyon 3,2017,,126423.0,,,
0692437Z,Université Jean Moulin - Lyon 3,2018,,125970.0,,,
0341089Z,Université Paul-Valéry - Montpellier 3,2015,,83876.0,36997.0,46879.0,
0341089Z,Université Paul-Valéry - Montpellier 3,2016,,88113.0,40283.0,47830.0,
0341089Z,Université Paul-Valéry - Montpellier 3,2017,,88855.0,39267.0,49588.0,
0341089Z,Université Paul-Valéry - Montpellier 3,2018,,85960.0,39973.0,45987.0,
0442953W,Nantes Université,2008,,213411.0,99196.0,114215.0,
0442953W,Nantes Université,2009,,261950.0,108385.0,152565.0,
0442953W,Nantes Université,2010,,255901.0,122785.0,133117.0,
0442953W,Nantes Université,2011,,256755.0,123865.0,132889.0,
0442953W,Nantes Université,2012,,234493.0,104694.0,129788.0,
0442953W,Nantes Université,2013,,216306.0,97572.0,118733.0,
0301687W,Université de Nîmes,2015,,31371.0,5073.0,26298.0,
0301687W,Université de Nîmes,2016,,34181.0,9060.0,25121.0,
0301687W,Université de Nîmes,2017,,33260.0,8601.0,24659.0,
0450855K,Université d'Orléans,2009,,122440.0,55402.0,67038.0,
0450855K,Université d'Orléans,2010,,133495.0,64296.0,69199.0,
0751719L,Université Sorbonne Nouvelle - Paris 3,2015,,118256.0,62556.0,55700.0,
0751719L,Université Sorbonne Nouvelle - Paris 3,2016,,123546.0,69257.0,54289.0,
0931827F,Université Paris 8 - Vincennes - Saint-Denis,2019,,118851.0,75370.0,43481.0,
0941111X,Université Paris-Est Créteil,2011,,258893.0,,,
0941111X,Université Paris-Est Créteil,2012,,233656.0,,,
0941111X,Université Paris-Est Créteil,2013,,217430.0,,,
0941111X,Université Paris-Est Créteil,2014,,221820.0,119163.0,115990.0,
0941111X,Université Paris-Est Créteil,2015,,220693.0,118036.0,102657.0,
0941111X,Université Paris-Est Créteil,2016,,234929.0,130664.0,104265.0,
0941111X,Université Paris-Est Créteil,2017,,240729.0,137097.0,103632.0,
0941111X,Université Paris-Est Créteil,2018,,245374.0,143309.0,102065.0,
0640251A,Université de Pau et des Pays de l'Adour,2018,,90542.0,40068.0,50474.0,
0511296G,Université de Reims Champagne-Ardenne,2013,,145006.0,,,
0511296G,Université de Reims Champagne-Ardenne,2014,,152222.0,77372.0,74850.0,
0511296G,Université de Reims Champagne-Ardenne,2017,,160198.0,72225.0,87973.0,
0511296G,Université de Reims Champagne-Ardenne,2018,,160473.0,74892.0,85581.0,
0353074B,Université de Rennes,2018,,143876.0,68618.0,75257.0,
0421095M,Université Jean Monnet,2010,,119871.0,54647.0,65224.0,
0421095M,Université Jean Monnet,2011,,121296.0,58378.0,62918.0,
0421095M,Université Jean Monnet,2012,,124444.0,58754.0,65690.0,
0421095M,Université Jean Monnet,2013,,129962.0,62327.0,67635.0,
0421095M,Université Jean Monnet,2014,,135915.0,64424.0,71490.0,
0421095M,Université Jean Monnet,2015,,136979.0,63396.0,73583.0,
0421095M,Université Jean Monnet,2016,,147952.0,64826.0,83126.0,
0421095M,Université Jean Monnet,2017,,151930.0,70668.0,81262.0,
0421095M,Université Jean Monnet,2018,,153934.0,63282.0,90652.0,
0830766G,Université de Toulon,2012,,85703.0,,,
0830766G,Université de Toulon,2014,,71167.0,,,
0830766G,Université de Toulon,2015,,68745.0,,,
0830766G,Université de Toulon,2016,,74031.0,,,
0830766G,Université de Toulon,2017,,79273.0,,,
0830766G,Université de Toulon,2018,,84184.0,,,
0313124C,Université Toulouse Capitole,2010,,66478.0,22672.0,43806.0,
0313124C,Université Toulouse Capitole,2011,,63921.0,22477.0,41444.0,
0313124C,Université Toulouse Capitole,2012,,72087.0,25467.0,46620.0,
0313124C,Université Toulouse Capitole,2014,,104617.0,44026.0,60591.0,
0313124C,Université Toulouse Capitole,2015,,107036.0,42188.0,64848.0,
0313124C,Université Toulouse Capitole,2016,,108033.0,43929.0,64104.0,
0313124C,Université Toulouse Capitole,2017,,106194.0,43427.0,62767.0,
0313124C,Université Toulouse Capitole,2018,,110079.0,46712.0,63367.0,
0370800U,Université de Tours,2016,,132105.0,58046.0,74060.0,
0370800U,Université de Tours,2017,,124211.0,58157.0,66054.0,
0370800U,Université de Tours,2018,,115831.0,46660.0,69171.0,
0623957P,Université d'Artois,2014,,126412.0,,,
0623957P,Université d'Artois,2015,,123012.0,,,
0623957P,Université d'Artois,2016,,142259.0,,,
0623957P,Université d'Artois,2017,,139686.0,,,
0623957P,Université d'Artois,2018,,121319.0,,,
0623957P,Université d'Artois,2019,,122777.0,,,
0597239Y,Université de Lille,2016,,392528.0,197177.0,,
0673021V,Université de Strasbourg,2009,636198.0,248599.0,94219.0,,
0673021V,Université de Strasbourg,2010,629186.0,280575.0,125340.0,,280575.0
0673021V,Université de Strasbourg,2011,612014.0,268477.0,117858.0,,
0673021V,Université de Strasbourg,2012,601670.0,251744.0,107314.0,,
0673021V,Université de Strasbourg,2013,597650.0,256506.0,111946.0,,
0673021V,Université de Strasbourg,2014,596620.0,263465.0,117885.0,,
0673021V,Université de Strasbourg,2015,606369.0,272743.0,127103.0,,
0673021V,Université de Strasbourg,2016,619868.0,282040.0,131433.0,,
0673021V,Université de Strasbourg,2017,630697.0,294636.0,139378.0,,
0673021V,Université de Strasbourg,2018,630697.0,294636.0,139378.0,155258.0,280494.0
0673021V,Université de Strasbourg,2019,641939.0,305767.0,149899.0,155868.0,292940.0
0673021V,Université de Strasbourg,2020,643105.0,309021.0,151614.0,157407.0,296339.0
0772710C,Université Paris-Est Marne-la-Vallée,2013,194110.0,101240.0,30716.0,,
0772710C,Université Paris-Est Marne-la-Vallée,2014,187210.0,91392.0,28137.0,,
0772710C,Université Paris-Est Marne-la-Vallée,2015,190719.0,89493.0,27760.0,,
0772710C,Université Paris-Est Marne-la-Vallée,2016,192322.0,100459.0,33534.0,,
0370800U,Université de Tours,2016,,132105.0,58046.0,74060.0,
0370800U,Université de Tours,2017,,124211.0,58157.0,66054.0,
0370800U,Université de Tours,2018,,115831.0,46660.0,69171.0,
0370800U,Université de Tours,2019,,118311.0,49819.0,68492.0,
0370800U,Université de Tours,2020,,119275.0,50888.0,68387.0,
0762762P,Université Le Havre Normandie,2017,,67948.0,,,
0691774D,Université Claude Bernard - Lyon 1,2012,,160244.0,83654.0,76590.0,
0691774D,Université Claude Bernard - Lyon 1,2014,,162764.0,90038.0,72726.0,
0691774D,Université Claude Bernard - Lyon 1,2015,,168915.0,95274.0,73641.0,
0691774D,Université Claude Bernard - Lyon 1,2016,,168488.0,92621.0,75867.0,
0691774D,Université Claude Bernard - Lyon 1,2017,,173301.0,94519.0,78782.0,
0691774D,Université Claude Bernard - Lyon 1,2018,,184191.0,100910.0,83281.0,
0781944P,Université de Versailles Saint-Quentin-en-Yvelines,2019,,530321.0,437800.0,92520.0,
