UAI;Etablissement;Type;Rentrée;Recupere;Lien;HC.Total;HC.Titulaires;HC.Vacataires
0440984F;Nantes;Universite;2007;Oui;;200452;88227;112224
0440984F;Nantes;Universite;2008;Oui;;213411;99196;114215
0440984F;Nantes;Universite;2009;Oui;;261950;108385;152565
0440984F;Nantes;Universite;2010;Oui;;255901;122785;133117
0440984F;Nantes;Universite;2011;Oui;;256755;123865;132889
0440984F;Nantes;Universite;2012;Oui;;234493;104694;129788
0440984F;Nantes;Universite;2013;Oui;;216306;97572;118733
0440984F;Nantes;Universite;2014;Oui;;220914;102519;118395
0440984F;Nantes;Universite;2015;Oui;;249876;115443;134433
0440984F;Nantes;Universite;2016;Oui;;237782;111765;126017
0440984F;Nantes;Universite;2017;Oui;;254729;124014;130715
0440984F;Nantes;Universite;2018;Oui;;250211;123578;126633
0301687W;Nimes;Universite;2015;Oui;;31371;5073;26298
0301687W;Nimes;Universite;2016;Oui;;34181;9060;25121
0301687W;Nimes;Universite;2017;Oui;;33260;8601;24659
0450855K;Orleans;Universite;2009;Oui;;122440;55402;67038
0450855K;Orleans;Universite;2010;Oui;;133495;64296;69199
0751717J;Paris 1 - Pantheon Sorbonne;Universite;2014;Oui;;NA;NA;NA
0751717J;Paris 1 - Pantheon Sorbonne;Universite;2016;Oui;;134502;30535;103967
0751719L;Paris 3;Universite;2012;Oui;;NA;NA;NA
0751719L;Paris 3;Universite;2013;Oui;;NA;NA;NA
0751719L;Paris 3;Universite;2014;Oui;;NA;NA;NA
0751719L;Paris 3;Universite;2015;Oui;;118256;62556;55700
0751719L;Paris 3;Universite;2016;Oui;;123546;69257;54289
0931827F;Paris 8;Universite;2019;Oui;;118850.8573;75369.54842;43481.30886
0931238R;Paris 13;Universite;2014;Oui;;NA;52792;NA
0941111X;Paris Est Creteil;Universite;2011;Oui;;258893.1313;NA;NA
0941111X;Paris Est Creteil;Universite;2012;Oui;;233656.0988;NA;NA
0941111X;Paris Est Creteil;Universite;2013;Oui;;217429.5771;NA;NA
0941111X;Paris Est Creteil;Universite;2014;Oui;;221820;119163;115990
0941111X;Paris Est Creteil;Universite;2015;Oui;;220693;118036;102657
0941111X;Paris Est Creteil;Universite;2016;Oui;;234929;130664;104265
0941111X;Paris Est Creteil;Universite;2017;Oui;;240729;137097;103632
0941111X;Paris Est Creteil;Universite;2018;Oui;;245374;143309;102065
0640251A;Pau;Universite;2018;Oui;;90542;40068;50474
0660437S;Perpignan;Universite;2012;Incomplet;;NA;NA;NA
0660437S;Perpignan;Universite;2013;Incomplet;;NA;NA;NA
0660437S;Perpignan;Universite;2014;Oui;;NA;NA;NA
0660437S;Perpignan;Universite;2015;Oui;;NA;NA;NA
0660437S;Perpignan;Universite;2016;Oui;;NA;NA;NA
0660437S;Perpignan;Universite;2017;Oui;;NA;NA;NA
0660437S;Perpignan;Universite;2018;Oui;;NA;NA;NA
0660437S;Perpignan;Universite;2019;Oui;;NA;NA;NA
0801344B;Picardie;Universite;2015;Oui;;NA;NA;NA
0801344B;Picardie;Universite;2016;Oui;;NA;NA;NA
0801344B;Picardie;Universite;2017;Oui;;NA;NA;NA
0801344B;Picardie;Universite;2018;Oui;;NA;NA;NA
0860856N;Poitiers;Universite;2013;Oui;;NA;NA;NA
0860856N;Poitiers;Universite;2014;Oui;;NA;NA;NA
0860856N;Poitiers;Universite;2015;Oui;;NA;NA;NA
0860856N;Poitiers;Universite;2016;Oui;;NA;NA;NA
0860856N;Poitiers;Universite;2017;Oui;;NA;NA;NA
0860856N;Poitiers;Universite;2018;Oui;;NA;NA;NA
9840349G;Polynesie francaise;Universite;2012;Oui;;NA;NA;NA
9840349G;Polynesie francaise;Universite;2013;Oui;;NA;NA;NA
9840349G;Polynesie francaise;Universite;2014;Oui;;NA;NA;NA
9840349G;Polynesie francaise;Universite;2015;Oui;;NA;NA;NA
9840349G;Polynesie francaise;Universite;2016;Oui;;NA;NA;NA
9840349G;Polynesie francaise;Universite;2017;Oui;;NA;NA;NA
0511296G;Reims;Universite;2013;Oui;;145005.6465;NA;NA
0511296G;Reims;Universite;2014;Oui;;152221.804;77371.80396;74850
0511296G;Reims;Universite;2017;Oui;;160197.8749;72224.87491;87973
0511296G;Reims;Universite;2018;Oui;;160472.9534;74891.95339;85581
0350936C;Rennes 1;Universite;2018;Oui;;143875.6581;68618.4255;75257.2084
0350937D;Rennes 2;Universite;2006;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2010;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2011;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2012;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2013;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2014;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2015;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2016;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2017;Oui;;NA;NA;NA
0350937D;Rennes 2;Universite;2018;Oui;;NA;NA;NA
0761904G;Rouen;Universite;2011;Oui;;NA;NA;NA
0761904G;Rouen;Universite;2012;Oui;;NA;NA;NA
0761904G;Rouen;Universite;2013;Oui;;NA;NA;NA
0761904G;Rouen;Universite;2014;Oui;;NA;NA;NA
0761904G;Rouen;Universite;2015;Oui;;NA;NA;NA
0761904G;Rouen;Universite;2016;Oui;;NA;NA;NA
0761904G;Rouen;Universite;2017;Oui;;NA;NA;NA
0761904G;Rouen;Universite;2018;Oui;;NA;NA;NA
0730858L;Savoie Mont-Blanc;Universite;2012;Oui;;NA;NA;NA
0730858L;Savoie Mont-Blanc;Universite;2014;Oui;;NA;NA;NA
0730858L;Savoie Mont-Blanc;Universite;2015;Oui;;143102;70646;72269
0730858L;Savoie Mont-Blanc;Universite;2016;Oui;;147215;73958;73187
0730858L;Savoie Mont-Blanc;Universite;2017;Oui;;152045;77919;74126
0730858L;Savoie Mont-Blanc;Universite;2018;Oui;;159863;84454;75409
0730858L;Savoie Mont-Blanc;Universite;2019;Oui;;167985;89123;78861
0755890V;Sorbonne universite;Universite;2018;Oui;;NA;NA;NA
0421095M;St Etienne;Universite;2003;Oui;;NA;NA;NA
0421095M;St Etienne;Universite;2007;Oui;;NA;NA;NA
0421095M;St Etienne;Universite;2010;Oui;;119871;54647;65224
0421095M;St Etienne;Universite;2011;Oui;;121296;58378;62918
0421095M;St Etienne;Universite;2012;Oui;;124444;58754;65690
0421095M;St Etienne;Universite;2013;Oui;;129962;62327;67635
0421095M;St Etienne;Universite;2014;Oui;;135915;64424;71490
0421095M;St Etienne;Universite;2015;Oui;;136979;63396;73583
0421095M;St Etienne;Universite;2016;Oui;;147952;64826;83126
0421095M;St Etienne;Universite;2017;Oui;;151930;70668;81262
0421095M;St Etienne;Universite;2018;Oui;;153934;63282;90652
0673021V;Strasbourg;Universite;2011;Oui;;280575;125340;155235
0673021V;Strasbourg;Universite;2012;Oui;;268477;117858;150619
0673021V;Strasbourg;Universite;2013;Oui;;251744;107314;144430
0673021V;Strasbourg;Universite;2014;Oui;;256506;111496;145010
0673021V;Strasbourg;Universite;2015;Oui;;263465;117885;145580
0673021V;Strasbourg;Universite;2016;Oui;;272743;127102;145641
0673021V;Strasbourg;Universite;2017;Oui;;282040;131434;150606
0673021V;Strasbourg;Universite;2018;Oui;;294636;139378;155258
0673021V;Strasbourg;Universite;2019;Oui;;305767;149899;155868
0830766G;Toulon;Universite;2009;Oui;;NA;NA;NA
0830766G;Toulon;Universite;2010;Oui;;NA;NA;NA
0830766G;Toulon;Universite;2012;Oui;;85702.6155;NA;NA
0830766G;Toulon;Universite;2014;Oui;;71166.80518;NA;NA
0830766G;Toulon;Universite;2015;Oui;;68744.95233;NA;NA
0830766G;Toulon;Universite;2016;Oui;;74030.53936;NA;NA
0830766G;Toulon;Universite;2017;Oui;;79273.48467;NA;NA
0830766G;Toulon;Universite;2018;Oui;;84184.25501;NA;NA
0311382J;Toulouse 1;Universite;2010;Oui;;66478;22672;43806
0311382J;Toulouse 1;Universite;2011;Oui;;63921;22477;41444
0311382J;Toulouse 1;Universite;2012;Oui;;72087;25467;46620
0311382J;Toulouse 1;Universite;2014;Oui;;104617;44026;60591
0311382J;Toulouse 1;Universite;2015;Oui;;107036;42188;64848
0311382J;Toulouse 1;Universite;2016;Oui;;108033;43929;64104
0311382J;Toulouse 1;Universite;2017;Oui;;106194;43427;62767
0311382J;Toulouse 1;Universite;2018;Oui;;110079;46712;63367
0311384L;Toulouse 3;Universite;2017;Oui;;NA;NA;NA
0311384L;Toulouse 3;Universite;2018;Oui;;NA;NA;NA
0370800U;Tours;Universite;2013;Oui;;NA;NA;NA
0370800U;Tours;Universite;2014;Oui;;NA;NA;NA
0370800U;Tours;Universite;2015;Oui;;NA;NA;NA
0370800U;Tours;Universite;2016;Oui;;132105;58046;74060
0370800U;Tours;Universite;2017;Oui;;124211;58157;66054
0370800U;Tours;Universite;2018;Oui;;115831;46660;69171
0623957P;Univ Artois;Universite;2014;Oui;;126412.3931;NA;NA
0623957P;Univ Artois;Universite;2015;Oui;;123012.3931;NA;NA
0623957P;Univ Artois;Universite;2016;Oui;;142258.9164;NA;NA
0623957P;Univ Artois;Universite;2017;Oui;;139686.2111;NA;NA
0623957P;Univ Artois;Universite;2018;Oui;;121318.7877;NA;NA
0623957P;Univ Artois;Universite;2019;Oui;;122777.1794;NA;NA
0781944P;Versailles;Universite;2014;Oui;;NA;NA;75681
0781944P;Versailles;Universite;2015;Oui;;NA;NA;67394
0781944P;Versailles;Universite;2016;Oui;;NA;NA;63348
0781944P;Versailles;Universite;2018;Oui;;NA;NA;59763
