"siren";"siret";"Etablissement";"Secteur";"dataset"
"197517170";"19751717000019";"Université Paris 1 - Panthéon Sorbonne";"public";"etab.24"
"197517196";"19751719600014";"Université Sorbonne Nouvelle - Paris 3";"public";"etab.24"
"197518756";"19751875600014";"École nationale supérieure d'architecture de Paris-La Villette";"public";"etab.24"
"197518772";"19751877200037";"École nationale supérieure d'architecture de Paris-Belleville";"public";"etab.24"
"197534316";"19753431600017";"Sciences Po";"public";"etab.24"
"197534639";"19753463900020";"Institut national du service public";"public";"etab.24"
"197534704";"19753470400014";"École nationale supérieure des arts décoratifs";"public";"etab.24"
"197534712";"19753471200017";"Conservatoire national des arts et métiers";"public";"etab.24"
"197534720";"19753472000010";"Arts et Métiers Sciences et Technologies";"public";"etab.24"
"197534803";"19753480300014";"Collège de France";"public";"etab.24"
"197534886";"19753488600092";"Institut national des langues et civilisations orientales";"public";"etab.24"
"197535016";"19753501600020";"École nationale des ponts et chaussées";"public";"etab.24"
"197537426";"19753742600011,19753742600037";"École des hautes études en sciences sociales";"public";"etab.24"
"197546880";"19754688000018";"Institut national d'histoire de l'art";"public";"etab.24"
"197601644";"19760164400028";"École nationale supérieure d'architecture de Normandie";"public";"etab.24"
"197601651";"19760165100023";"Institut national des sciences appliquées de Rouen Normandie";"public";"etab.24"
"197619042";"19761904200017";"Université de Rouen Normandie";"public";"etab.24"
"197627623";"19762762300097";"Université Le Havre Normandie";"public";"etab.24"
"197804123";"19780412300028";"École nationale supérieure d’architecture de Versailles";"public";"etab.24"
"197819444";"19781944400013";"Université de Versailles Saint-Quentin-en-Yvelines";"public";"etab.24"
"197820194";"19782019400029";"École nationale supérieure de paysage";"public";"etab.24"
"198013443";"19801344300017";"Université de Picardie Jules-Verne";"public";"etab.24"
"198112013";"19811201300018";"Institut national universitaire Jean-François Champollion";"public";"etab.24"
"198307662";"19830766200017";"Université de Toulon";"public";"etab.24"
"198406852";"19840685200204";"Avignon Université";"public";"etab.24"
"198600736";"19860073600021";"École nationale supérieure de mécanique et d'aérotechnique de Poitiers";"public";"etab.24"
"198608564";"19860856400375";"Université de Poitiers";"public";"etab.24"
"198706699";"19870669900321";"Université de Limoges";"public";"etab.24"
"199003567";"19900356700013";"Université de technologie de Belfort-Montbéliard";"public";"etab.24"
"199106857";"19910685700014";"Institut national des sciences et techniques nucléaires";"public";"etab.24"
"199119751";"19911975100014";"Université d'Évry-Val-d'Essonne";"public";"etab.24"
"199212044";"19921204400010";"Université Paris Nanterre";"public";"etab.24"
"199306036";"19930603600013";"ISAE-Supméca";"public";"etab.24"
"199312380";"19931238000017";"Université Sorbonne Paris Nord";"public";"etab.24"
"199318270";"19931827000014";"Université Paris 8 - Vincennes - Saint-Denis";"public";"etab.24"
"199406083";"19940608300014";"École nationale vétérinaire d'Alfort";"public";"etab.24"
"199411117";"19941111700013";"Université Paris-Est Créteil";"public";"etab.24"
"199513763";"19951376300011";"École nationale supérieure de l'électronique et de ses applications de Cergy";"public";"etab.24"
"199715855";"19971585500011";"Université des Antilles";"public";"etab.24"
"199744780";"19974478000016";"Université de La Réunion";"public";"etab.24"
"199870015";"19987001500013";"Université de la Polynésie Française";"public";"etab.24"
"200028132";"20002813200013";"École supérieure d'arts et médias de Caen - Cherbourg";"public";"etab.24"
"311349138";"31134913800017";"École supérieure d'informatique électronique automatique";"privé";"etab.24"
"312381015";"31238101500014";"Institut protestant de théologie";"privé";"etab.24"
"320140551";"32014055100021";"Institut textile et chimique";"privé";"etab.24"
"325002111";"32500211100012";"École spéciale des travaux publics, du bâtiment et de l'industrie";"privé";"etab.24"
"326930062";"32693006200145,32693006200012";"Institut catholique de Lyon";"privé";"etab.24"
"329491476";"32949147600019";"Institut des relations publiques et de la communication d’Angers";"privé";"etab.24"
"331118760";"33111876000015";"École nationale supérieure de création industrielle - Les Ateliers";"public";"etab.24"
"333452985";"33345298500034";"Institut français de la mode";"privé";"etab.24"
"342382637";"34238263700011";"École supérieure d’agriculture";"privé";"etab.24"
"343592721";"34359272100025,34359272100017";"ISMANS";"privé";"etab.24"
"348768508";"34876850800015";"Excelia Group";"privé";"etab.24"
"353408776";"35340877600022";"EIGSI La Rochelle";"privé";"etab.24"
"378327514";"37832751400014";"Rennes School of Business";"privé";"etab.24"
"379103096";"37910309600051";"ECAM Rennes Louis de Broglie";"privé";"etab.24"
"379204308";"37920430800033";"Institut catholique de Vendée";"privé";"etab.24"
"379204381";"37920438100014";"École supérieure angevine en informatique et productique";"privé";"etab.24"
"379364094";"37936409400027,37936409400019";"École centrale d'électronique";"privé";"etab.24"
"381395680";"38139568000105,38139568000022";"ICN Business School";"privé";"etab.24"
"383386877";"38338687700039";"ISEN Yncréa Méditerranée";"privé";"etab.24"
"383798998";"38379899800035";"École d'ingénieur d'agro-développement international";"privé";"etab.24"
"388591638";"38859163800035,38859163800027,38859163800019";"École de biologie industrielle";"privé";"etab.24"
"388964520";"38896452000018";"ECAM-EPMI";"privé";"etab.24"
"389013004";"38901300400012";"École supérieure d'ingénieurs des travaux de la construction de Metz";"privé";"etab.24"
"391101581";"39110158100067,39110158100018";"EPF - École d'ingénieurs";"privé";"etab.24"
"391895109";"39189510900026";"École supérieure de chimie physique électronique de Lyon";"privé";"etab.24"
"394331649";"39433164900027,39433164900019";"École supérieure d'ingénieurs des travaux de la construction de Paris";"privé";"etab.24"
"397704628";"39770462800015";"Institut d'ingénierie informatique de Limoges";"privé";"etab.24"
"397792656";"39779265600027,39779265600019";"Institut supérieur de l'électronique et du numérique de Brest";"privé";"etab.24"
"403162688";"40316268800010";"BUILDERS École d'ingénieurs";"privé";"etab.24"
"413701111";"41370111100028";"École supérieure d'ingénieurs en génie électrique";"privé";"etab.24"
"424437127";"42443712700014";"Institut catholique de Rennes";"privé";"etab.24"
"439946427";"43994642700044,43994642700036,43994642700028";"Groupe Institut catholique d'arts et métiers";"privé";"etab.24"
"442639258";"44263925800031";"École spéciale de mécanique et d'électricité";"privé";"etab.24"
"479806630.788375";"47980663000055,47980663000014,78837489000010";"École de management de Normandie";"privé";"etab.24"
"512837303";"51283730300043,51283730300035";"École d'ingénieurs des sciences aérospatiales";"privé";"etab.24"
"514005123";"51400512300062";"KEDGE Business School";"privé";"etab.24"
"520875378";"52087537800017";"École supérieure des technologies et des affaires de Belfort";"privé";"etab.24"
"529175341";"52917534100013";"Y SCHOOLS";"privé";"etab.24"
"775624240";"77562424000013";"Institut catholique de Lille";"privé";"etab.24"
"775663958";"77566395800046";"École supérieure des sciences économiques et commerciales";"privé";"etab.24"
"775688013";"77568801300041";"École supérieure de fonderie et de forge";"privé";"etab.24"
"775703390";"77570339000010";"Institut européen d'administration des affaires";"privé";"etab.24"
"775722572";"77572257201109,77572257200812";"CESI";"privé";"etab.24"
"775728470";"77572847000045";"Facultés Libres de Philosophie et de Psychologie";"privé";"etab.24"
"775729155";"77572915500124";"École nationale supérieure du pétrole et des moteurs";"public";"etab.24"
"776944100";"77694410000010";"Institut catholique de Toulouse";"privé";"etab.24"
"776944142";"77694414200012";"École d'ingénieurs de Purpan";"privé";"etab.24"
"779845056";"77984505600042";"Institut supérieur d’agriculture Rhône-Alpes";"privé";"etab.24"
"779883446";"77988344600014";"École catholique des arts et métiers";"privé";"etab.24"
"780507190";"78050719000012";"Institut polytechnique UniLaSalle";"privé";"etab.24"
"783705841";"78370584100022,78370584100014";"Skema Business School";"privé";"etab.24"
"783707003";"78370700300035";"Junia";"privé";"etab.24"
"783707003";"78370700300043";"Institut supérieur d'agriculture de Lille";"privé";"etab.24"
"783707003";"78370700300050";"Hautes études d'ingénieur";"privé";"etab.24"
"783707052";"78370705200032";"Institut d'économie scientifique et de gestion";"privé";"etab.24"
"783707060";"78370706000068,78370706000027";"École des hautes études commerciales du nord";"privé";"etab.24"
"784259509";"78425950900080";"École supérieure des techniques aéronautiques et de construction automobile";"privé";"etab.24"
"784280737";"78428073700015";"Institut catholique de Paris";"privé";"etab.24"
"784280745";"78428074500026";"Institut supérieur d'électronique de Paris";"privé";"etab.24"
"784280760";"78428076000033";"École supérieure de chimie organique et minérale";"privé";"etab.24"
"784280802";"78428080200017";"IPAG Business School";"privé";"etab.24"
"784521304";"78452130400021";"École supérieure du bois";"privé";"etab.24"
"784573669";"78457366900016";"École spéciale d'architecture";"privé";"etab.24"
"784713513";"78471351300025";"Institut supérieur du commerce de Paris";"privé";"etab.24"
"786116681";"78611668100010";"Facultés libres de l'Ouest";"privé";"etab.24"
"786116715";"78611671500065,78611671500016";"École supérieure d'électronique de l'Ouest";"privé";"etab.24"
"786116723";"78611672300010";"École supérieure des sciences commerciales d'Angers";"privé";"etab.24"
"789704772";"78970477200019";"Burgundy School of Business";"privé";"etab.24"
"790261242";"79026124200016";"MBS";"privé";"etab.24"
"792237463";"79223746300049,79223746300015";"Neoma Business School";"privé";"etab.24"
"812635514";"81263551400019";"Brest Business School";"privé";"etab.24"
"817517394.1831";"81751739400018,18310002300161";"Toulouse Business School";"privé";"etab.24"
"817759186";"81775918600023";"École des hautes études commerciales de Paris";"privé";"etab.24"
"824457675.1864";"82445767500059,82445767500018,18640005700102";"École supérieure des technologies industrielles avancées";"privé";"etab.24"
"824644587";"82464458700027";"ESCP Business School";"privé";"etab.24"
"834748865.491785";"83474886500013,49178543200015";"Audencia Business School";"privé";"etab.24"
"889310744";"88931074400020";"ESIEE-IT";"privé";"etab.24"
"898056957.479623";"89805695700019,47962295300012";"Institut Sup'Biotech de Paris";"privé";"etab.24"
"898124904.433696";"89812490400019,43369563200029";"Institut polytechnique des sciences avancées";"privé";"etab.24"
