Etablissement,Typologie,PerimEx,Indicateur,Valeur100,Valeur,Rentrée.référence,Rentrée,Rang,Rang_Valeur100,Rang_Typologie
Université Paul-Valéry - Montpellier 3,Université tertiaire - lettres et sciences Humaines,NINI,SCSP,121.28351739429503,107000000,2014,2024,41,17,5
Université Paul-Valéry - Montpellier 3,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/E-EC,102.90225359434774,144790.25710419487,2014,2024,20,49,3
Université Paul-Valéry - Montpellier 3,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant,102.3619755495532,4993.4664924397985,2014,2024,64,41,8
Université Paul-Valéry - Montpellier 3,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant(hors doc.),101.7612548354061,5156.626506024097,2014,2024,64,40,8
Université Paul-Valéry - Montpellier 3,Université tertiaire - lettres et sciences Humaines,NINI,Ressources/Etudiant(hors doc.),113.30181116491443,6501.645012048193,2014,2024,63,31,7
Université Rennes 2,Université tertiaire - lettres et sciences Humaines,NINI,SCSP,121.8656012709153,106421938,2014,2024,42,13,6
Université Rennes 2,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/E-EC,108.87045421595987,126092.34360189573,2014,2024,58,32,8
Université Rennes 2,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant,124.09909259584401,5105.883893873242,2014,2024,61,11,6
Université Rennes 2,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant(hors doc.),124.0425202905263,5222.649948471316,2014,2024,62,10,6
Université Rennes 2,Université tertiaire - lettres et sciences Humaines,NINI,Ressources/Etudiant(hors doc.),132.1932381912597,6471.444226333611,2014,2024,64,14,8
Université Savoie Mont Blanc,Université pluridisciplinaire hors santé,NINI,SCSP,121.31647687195253,102742513,2014,2024,45,16,4
Université Savoie Mont Blanc,Université pluridisciplinaire hors santé,NINI,SCSP/E-EC,119.71787029530894,150428.2767203514,2014,2024,11,11,6
Université Savoie Mont Blanc,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant,111.62260536014385,7573.530370042754,2014,2024,31,25,14
Université Savoie Mont Blanc,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant(hors doc.),113.98140188300758,7736.052480987877,2014,2024,34,22,14
Université Savoie Mont Blanc,Université pluridisciplinaire hors santé,NINI,Ressources/Etudiant(hors doc.),123.91259831951884,10160.196220164144,2014,2024,31,22,11
Université Sorbonne Nouvelle - Paris 3,Université tertiaire - lettres et sciences Humaines,NINI,SCSP,114.7408378507649,104038984,2014,2024,44,48,7
Université Sorbonne Nouvelle - Paris 3,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/E-EC,119.19199104325146,149481.2988505747,2014,2024,13,12,2
Université Sorbonne Nouvelle - Paris 3,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant,125.76328136290074,6859.56247115448,2014,2024,44,8,1
Université Sorbonne Nouvelle - Paris 3,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant(hors doc.),121.30154199480006,7201.9233005676315,2014,2024,44,14,1
Université Sorbonne Nouvelle - Paris 3,Université tertiaire - lettres et sciences Humaines,NINI,Ressources/Etudiant(hors doc.),125.96255671702261,8308.907586875259,2014,2024,52,19,1
Université Sorbonne Paris Nord,Université pluridisciplinaire avec santé,NINI,SCSP,118.0569386796676,167723115,2014,2024,30,31,21
Université Sorbonne Paris Nord,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,107.92695276248682,134501.29510825983,2014,2024,43,35,22
Université Sorbonne Paris Nord,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,104.4377567707475,7315.209132937893,2014,2024,36,37,19
Université Sorbonne Paris Nord,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),103.7517913687436,7477.291025812492,2014,2024,39,35,21
Université Sorbonne Paris Nord,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),107.56908339421535,9338.784672997192,2014,2024,44,43,23
Université Toulouse - Jean Jaurès,Université tertiaire - lettres et sciences Humaines,NINI,SCSP,122.78279625387738,183850895,2014,2024,28,9,2
Université Toulouse - Jean Jaurès,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/E-EC,126.3139366555912,151068.93590797042,2014,2024,9,6,1
Université Toulouse - Jean Jaurès,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant,108.00667825867893,6120.406638037219,2014,2024,54,30,4
Université Toulouse - Jean Jaurès,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant(hors doc.),107.76021801541651,6315.079002507471,2014,2024,55,29,5
Université Toulouse - Jean Jaurès,Université tertiaire - lettres et sciences Humaines,NINI,Ressources/Etudiant(hors doc.),105.99394580893635,6887.152990073163,2014,2024,60,49,5
Université Toulouse III - Paul Sabatier,Université scientifique et/ou médicale,NINI,SCSP,109.8330635380513,307777465,2014,2024,12,51,4
Université Toulouse III - Paul Sabatier,Université scientifique et/ou médicale,NINI,SCSP/E-EC,108.05420578141343,127814.56187707641,2014,2024,53,34,4
Université Toulouse III - Paul Sabatier,Université scientifique et/ou médicale,NINI,SCSP/Etudiant,105.44474803947791,10022.06007815044,2014,2024,7,34,1
Université Toulouse III - Paul Sabatier,Université scientifique et/ou médicale,NINI,SCSP/Etudiant(hors doc.),104.60291765528696,10506.143198498037,2014,2024,7,33,1
Université Toulouse III - Paul Sabatier,Université scientifique et/ou médicale,NINI,Ressources/Etudiant(hors doc.),108.44464660883055,13493.530431814303,2014,2024,10,39,1
Université d'Angers,Université pluridisciplinaire avec santé,NINI,SCSP,122.50277312226363,144888593,2014,2024,32,10,23
Université d'Angers,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,104.51052539261114,131358.65185856755,2014,2024,47,45,26
Université d'Angers,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,96.56133065850828,5382.79128431846,2014,2024,59,46,32
Université d'Angers,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),95.62172122121268,5462.752818308638,2014,2024,59,47,32
Université d'Angers,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),106.75750438993012,7166.590996493609,2014,2024,59,46,33
Université d'Artois,Université pluridisciplinaire hors santé,NINI,SCSP,116.76290067289791,93289144,2014,2024,48,38,5
Université d'Artois,Université pluridisciplinaire hors santé,NINI,SCSP/E-EC,138.98551725257852,150466.3612903226,2014,2024,10,2,5
Université d'Artois,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant,100.4819323555662,7921.97214673913,2014,2024,24,44,10
Université d'Artois,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant(hors doc.),100.03500883076548,8046.329480765913,2014,2024,25,43,10
Université d'Artois,Université pluridisciplinaire hors santé,NINI,Ressources/Etudiant(hors doc.),108.33566587865324,9920.845092289115,2014,2024,35,41,13
Université d'Orléans,Université pluridisciplinaire avec santé,NINI,SCSP,121.56802671973499,161079961,2014,2024,31,14,22
Université d'Orléans,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,122.20842018796887,141422.26602282704,2014,2024,32,9,16
Université d'Orléans,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,110.49988252128706,9252.683152392441,2014,2024,12,28,6
Université d'Orléans,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),110.13653263778845,9496.519337342295,2014,2024,12,26,5
Université d'Orléans,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),114.2841570765154,11839.30774672798,2014,2024,18,28,8
Université d'Évry-Val-d'Essonne,Université pluridisciplinaire hors santé,NINI,SCSP,119.70159454840494,79449118,2014,2024,54,24,9
Université d'Évry-Val-d'Essonne,Université pluridisciplinaire hors santé,NINI,SCSP/E-EC,112.95477740113118,144452.9418181818,2014,2024,21,24,10
Université d'Évry-Val-d'Essonne,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant,105.70017780665633,7757.187853934778,2014,2024,28,32,12
Université d'Évry-Val-d'Essonne,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant(hors doc.),103.00040546329747,7757.187853934778,2014,2024,32,37,13
Université d'Évry-Val-d'Essonne,Université pluridisciplinaire hors santé,NINI,Ressources/Etudiant(hors doc.),108.0414008543084,10108.50829916032,2014,2024,32,42,12
Université de Bordeaux,Université pluridisciplinaire avec santé,IDEx,SCSP,114.9443681154496,373172959,2014,2024,8,47,7
Université de Bordeaux,Université pluridisciplinaire avec santé,IDEx,SCSP/E-EC,107.01278256652378,137702.19889298893,2014,2024,39,37,20
Université de Bordeaux,Université pluridisciplinaire avec santé,IDEx,SCSP/Etudiant,116.54408609309854,8127.650803676439,2014,2024,22,19,11
Université de Bordeaux,Université pluridisciplinaire avec santé,IDEx,SCSP/Etudiant(hors doc.),117.41752952086021,8505.560445822128,2014,2024,22,18,11
Université de Bordeaux,Université pluridisciplinaire avec santé,IDEx,Ressources/Etudiant(hors doc.),137.00000691130515,14247.830332315267,2014,2024,6,10,4
Université de Bourgogne,Université pluridisciplinaire avec santé,ISITE,SCSP,116.43199883258156,218873538,2014,2024,19,40,14
Université de Bourgogne,Université pluridisciplinaire avec santé,ISITE,SCSP/E-EC,116.11753023343887,147787.6691424713,2014,2024,17,19,7
Université de Bourgogne,Université pluridisciplinaire avec santé,ISITE,SCSP/Etudiant,108.48230971657027,7555.1790818087675,2014,2024,32,29,15
Université de Bourgogne,Université pluridisciplinaire avec santé,ISITE,SCSP/Etudiant(hors doc.),106.89386574593188,7748.5587141997385,2014,2024,33,31,16
Université de Bourgogne,Université pluridisciplinaire avec santé,ISITE,Ressources/Etudiant(hors doc.),112.4215086113973,9655.667964739618,2014,2024,39,34,20
Université de Bretagne Occidentale,Université pluridisciplinaire avec santé,NINI,SCSP,89.52873945371869,125896856,2014,2024,37,53,25
Université de Bretagne Occidentale,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,80.38891454429033,97368.02474864655,2014,2024,67,53,33
Université de Bretagne Occidentale,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,65.21980577454124,5155.903677614874,2014,2024,60,53,33
Université de Bretagne Occidentale,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),64.35708625641703,5263.466532881809,2014,2024,61,53,33
Université de Bretagne Occidentale,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),73.84332358771364,7540.449015427066,2014,2024,58,53,32
Université de Caen Normandie,Université pluridisciplinaire avec santé,NINI,SCSP,118.41268851466253,213515548,2014,2024,20,28,15
Université de Caen Normandie,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,118.96234953561917,141588.5596816976,2014,2024,31,13,15
Université de Caen Normandie,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,96.03782633930352,6779.562710357528,2014,2024,45,48,26
Université de Caen Normandie,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),96.06301794182983,6966.249526916803,2014,2024,45,46,26
Université de Caen Normandie,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),105.1717936778584,8965.365089722676,2014,2024,49,51,28
Université de Corse Pasquale Paoli,Université pluridisciplinaire avec santé,NINI,SCSP,136.06818057100668,45822462,2014,2024,63,5,31
Université de Corse Pasquale Paoli,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,125.96025858573189,130921.32,2014,2024,48,7,27
Université de Corse Pasquale Paoli,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,137.37553603540573,11585.957522123894,2014,2024,3,3,2
Université de Corse Pasquale Paoli,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),136.20933013591434,11883.418568464731,2014,2024,3,3,2
Université de Corse Pasquale Paoli,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),141.15271622111823,17868.988589211618,2014,2024,2,6,1
Université de Franche-Comté,Université pluridisciplinaire avec santé,ISITE,SCSP,115.83745836181976,187452965,2014,2024,25,42,18
Université de Franche-Comté,Université pluridisciplinaire avec santé,ISITE,SCSP/E-EC,124.60638026657524,141902.32021196064,2014,2024,29,8,13
Université de Franche-Comté,Université pluridisciplinaire avec santé,ISITE,SCSP/Etudiant,96.18825243385912,7550.975427995972,2014,2024,33,47,16
Université de Franche-Comté,Université pluridisciplinaire avec santé,ISITE,SCSP/Etudiant(hors doc.),95.52031674193803,7765.242957746479,2014,2024,30,48,15
Université de Franche-Comté,Université pluridisciplinaire avec santé,ISITE,Ressources/Etudiant(hors doc.),106.82460659326402,10550.344283347142,2014,2024,27,45,13
Université de Guyane,Université pluridisciplinaire avec santé,NINI,SCSP,160.94507219228663,26097847,2014,2024,66,2,33
Université de Guyane,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,1408.0029163311965,172833.42384105962,2014,2024,5,1,3
Université de Guyane,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,122.87518518249591,7894.085601935874,2014,2024,25,13,12
Université de Guyane,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),125.1464455370707,8040.002156500308,2014,2024,26,8,12
Université de Guyane,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),123.40477965095195,9330.879852125694,2014,2024,45,23,24
Université de Haute-Alsace,Université pluridisciplinaire hors santé,NINI,SCSP,117.78262240609085,83274016,2014,2024,52,34,7
Université de Haute-Alsace,Université pluridisciplinaire hors santé,NINI,SCSP/E-EC,110.73225416347275,146609.18309859154,2014,2024,19,29,9
Université de Haute-Alsace,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant,91.27233152484895,8393.711924201189,2014,2024,19,51,8
Université de Haute-Alsace,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant(hors doc.),90.78136209286949,8630.326044149653,2014,2024,21,51,9
Université de Haute-Alsace,Université pluridisciplinaire hors santé,NINI,Ressources/Etudiant(hors doc.),106.24909089992052,13291.058658928387,2014,2024,11,48,5
Université de La Réunion,Université pluridisciplinaire avec santé,NINI,SCSP,131.79064695612792,120206456,2014,2024,40,6,28
Université de La Réunion,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,115.58110214334214,214271.75757575757,2014,2024,4,21,2
Université de La Réunion,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,102.94622756214282,7162.820641163151,2014,2024,40,39,23
Université de La Réunion,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),101.83497836206257,7243.5345586019885,2014,2024,42,39,24
Université de La Réunion,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),113.1597167420812,9204.020247062368,2014,2024,47,32,26
Université de Limoges,Université pluridisciplinaire avec santé,NINI,SCSP,121.26605695976049,139568749,2014,2024,34,19,24
Université de Limoges,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,104.66818882839664,129952.28026070763,2014,2024,49,44,28
Université de Limoges,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,110.69515511894821,8402.188248750828,2014,2024,18,26,9
Université de Limoges,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),109.80879648121524,8675.332483838885,2014,2024,18,28,9
Université de Limoges,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),124.05490783346276,11991.083354052711,2014,2024,17,21,7
Université de Lorraine,Université pluridisciplinaire avec santé,ISITE,SCSP,117.87946986443885,535414307,2014,2024,3,33,2
Université de Lorraine,Université pluridisciplinaire avec santé,ISITE,SCSP/E-EC,110.32756843032405,144122.28990578736,2014,2024,22,31,9
Université de Lorraine,Université pluridisciplinaire avec santé,ISITE,SCSP/Etudiant,117.53276554130814,9602.121718077475,2014,2024,8,17,4
Université de Lorraine,Université pluridisciplinaire avec santé,ISITE,SCSP/Etudiant(hors doc.),117.86857285679719,9898.948140068038,2014,2024,8,17,4
Université de Lorraine,Université pluridisciplinaire avec santé,ISITE,Ressources/Etudiant(hors doc.),130.044247115001,12633.197474486024,2014,2024,13,17,6
