"Rentrée","Code.CNU","Section.CNU","Enseignants"
"2012",52,"Maladies des appareils digestif et urinaire",371
"2012",53,"Médecine interne, gériatrie et chirurgie générale",263
"2012",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",552
"2012",55,"Pathologie de la tête et du cou",212
"2012",56,"Développement, croissance et prévention",127
"2012",57,"Chirurgie orale - parondontologie - biologie orale",153
"2012",58,"Réhabilitation orale",245
"2012",60,"Mécanique, génie mécanique, génie civil",2335
"2012",61,"Génie informatique, automatique et traitement du signal",1741
"2012",62,"Energétique, génie des procédés",1096
"2012",63,"Génie électrique, électronique, photonique et systèmes",1723
"2012",64,"Biochimie et biologie moléculaire",1087
"2012",65,"Biologie cellulaire",995
"2012",66,"Physiologie",769
"2012",67,"Biologie des populations et écologie",699
"2012",68,"Biologie des organismes",502
"2012",69,"Neurosciences",401
"2012",70,"Sciences de l'éducation et de la formation",650
"2012",71,"Sciences de l'information et de la communication",790
"2012",72,"Epistémologie, histoire des sciences et des techniques",82
"2012",73,"Cultures et langues régionales",58
"2012",74,"Sciences et techniques des activités physiques et sportives",784
"2012",76,"Théologie catholique",31
"2012",77,"Théologie protestante",23
"2012",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",41
"2012",81,"Sciences du médicament et des autres produits de santé",104
"2012",82,"Sciences biologiques, fondamentales et cliniques",154
"2012",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",478
"2012",86,"Sciences du médicament et des autres produits de santé",602
"2012",87,"Sciences biologiques, fondamentales et cliniques",434
"2012",99,"Non spécifiée",13056
"2013",0,"Sans discipline",1087
"2013",1,"Droit privé et sciences criminelles",1821
"2013",2,"Droit public",1323
"2013",3,"Histoire du droit et des institutions",271
"2013",4,"Science politique",363
"2013",5,"Sciences économiques",1806
"2013",6,"Sciences de gestion et du management",2034
"2013",7,"Sciences du langage",783
"2013",8,"Langues et littératures anciennes",325
"2013",9,"Langue et littérature française",1027
"2013",10,"Littératures comparées",219
"2013",11,"Etudes anglophones",1743
"2013",12,"Etudes germaniques et scandinaves",453
"2013",13,"Etudes slaves et baltes",133
"2013",14,"Etudes romanes",1001
"2013",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",418
"2013",16,"Psychologie et ergonomie",1323
"2013",17,"Philosophie",392
"2013",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",686
"2013",19,"Sociologie, démographie",895
"2013",20,"Ethnologie, préhistoire, anthropologie biologique",200
"2013",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",799
"2013",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1089
"2013",23,"Géographie physique, humaine, économique et régionale",878
"2013",24,"Aménagement de l'espace, urbanisme",260
"2013",25,"Mathématiques",1411
"2013",26,"Mathématiques appliquées et applications des mathématiques",1802
"2013",27,"Informatique",3437
"2013",28,"Milieux denses et matériaux",1392
"2013",29,"Constituants élémentaires",411
"2013",30,"Milieux dilués et optique",626
"2013",31,"Chimie théorique, physique, analytique",1024
"2013",32,"Chimie organique, minérale, industrielle",1300
"2013",33,"Chimie des matériaux",911
"2013",34,"Astronomie, astrophysique",195
"2013",35,"Structure et évolution de la terre et des autres planètes",544
"2013",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",393
"2013",37,"Météorologie, océanographie physique et physique de l'environnement",187
"2013",42,"Morphologie et morphogenèse",396
"2013",43,"Biophysique et imagerie Médecine",353
"2013",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",614
"2013",45,"Microbiologie, maladies transmissibles et hygiène",419
"2013",46,"Santé publique, environnement et société",310
"2013",47,"Cancérologie, génétique, hématologie, immunologie",613
"2013",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",474
"2013",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",387
"2013",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",304
"2013",51,"Pathologie cardiorespiratoire et vasculaire",419
"2013",52,"Maladies des appareils digestif et urinaire",378
"2013",53,"Médecine interne, gériatrie et chirurgie générale",313
"2013",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",555
"2013",55,"Pathologie de la tête et du cou",216
"2013",56,"Développement, croissance et prévention",130
"2013",57,"Chirurgie orale - parondontologie - biologie orale",154
"2013",58,"Réhabilitation orale",249
"2013",60,"Mécanique, génie mécanique, génie civil",2376
"2013",61,"Génie informatique, automatique et traitement du signal",1762
"2013",62,"Energétique, génie des procédés",1099
"2013",63,"Génie électrique, électronique, photonique et systèmes",1728
"2013",64,"Biochimie et biologie moléculaire",1096
"2013",65,"Biologie cellulaire",1004
"2013",66,"Physiologie",750
"2013",67,"Biologie des populations et écologie",705
"2013",68,"Biologie des organismes",502
"2013",69,"Neurosciences",402
"2013",70,"Sciences de l'éducation et de la formation",661
"2013",71,"Sciences de l'information et de la communication",803
"2013",72,"Epistémologie, histoire des sciences et des techniques",88
"2013",73,"Cultures et langues régionales",56
"2013",74,"Sciences et techniques des activités physiques et sportives",803
"2013",76,"Théologie catholique",30
"2013",77,"Théologie protestante",23
"2013",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",44
"2013",81,"Sciences du médicament et des autres produits de santé",115
"2013",82,"Sciences biologiques, fondamentales et cliniques",160
"2013",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",462
"2013",86,"Sciences du médicament et des autres produits de santé",574
"2013",87,"Sciences biologiques, fondamentales et cliniques",419
"2013",99,"Non spécifiée",13069
"2014",0,"Sans discipline",1078
"2014",1,"Droit privé et sciences criminelles",1834
"2014",2,"Droit public",1312
"2014",3,"Histoire du droit et des institutions",271
"2014",4,"Science politique",370
"2014",5,"Sciences économiques",1809
"2014",6,"Sciences de gestion et du management",2060
"2014",7,"Sciences du langage",782
"2014",8,"Langues et littératures anciennes",323
"2014",9,"Langue et littérature française",1013
"2014",10,"Littératures comparées",218
"2014",11,"Etudes anglophones",1728
"2014",12,"Etudes germaniques et scandinaves",438
"2014",13,"Etudes slaves et baltes",129
"2014",14,"Etudes romanes",998
"2014",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",419
"2014",16,"Psychologie et ergonomie",1336
"2014",17,"Philosophie",399
"2014",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",701
"2014",19,"Sociologie, démographie",899
"2014",20,"Ethnologie, préhistoire, anthropologie biologique",194
"2014",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",799
"2014",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1090
"2014",23,"Géographie physique, humaine, économique et régionale",874
"2014",24,"Aménagement de l'espace, urbanisme",256
"2014",25,"Mathématiques",1386
"2014",26,"Mathématiques appliquées et applications des mathématiques",1825
"2014",27,"Informatique",3451
"2014",28,"Milieux denses et matériaux",1377
"2014",29,"Constituants élémentaires",412
"2014",30,"Milieux dilués et optique",629
"2014",31,"Chimie théorique, physique, analytique",1011
"2014",32,"Chimie organique, minérale, industrielle",1287
"2014",33,"Chimie des matériaux",910
"2014",34,"Astronomie, astrophysique",195
"2014",35,"Structure et évolution de la terre et des autres planètes",545
"2014",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",394
"2014",37,"Météorologie, océanographie physique et physique de l'environnement",185
"2014",42,"Morphologie et morphogenèse",393
"2014",43,"Biophysique et imagerie Médecine",345
"2014",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",591
"2014",45,"Microbiologie, maladies transmissibles et hygiène",417
"2014",46,"Santé publique, environnement et société",316
"2014",47,"Cancérologie, génétique, hématologie, immunologie",608
"2014",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",491
"2014",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",391
"2014",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",300
"2014",51,"Pathologie cardiorespiratoire et vasculaire",426
"2014",52,"Maladies des appareils digestif et urinaire",379
"2014",53,"Médecine interne, gériatrie et chirurgie générale",309
"2014",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",562
"2014",55,"Pathologie de la tête et du cou",208
"2014",56,"Développement, croissance et prévention",122
"2014",57,"Chirurgie orale - parondontologie - biologie orale",148
"2014",58,"Réhabilitation orale",243
"2014",60,"Mécanique, génie mécanique, génie civil",2387
"2014",61,"Génie informatique, automatique et traitement du signal",1763
"2014",62,"Energétique, génie des procédés",1111
"2014",63,"Génie électrique, électronique, photonique et systèmes",1730
"2014",64,"Biochimie et biologie moléculaire",1091
"2014",65,"Biologie cellulaire",1005
"2014",66,"Physiologie",763
"2014",67,"Biologie des populations et écologie",709
"2014",68,"Biologie des organismes",499
"2014",69,"Neurosciences",398
"2014",70,"Sciences de l'éducation et de la formation",668
"2014",71,"Sciences de l'information et de la communication",804
"2014",72,"Epistémologie, histoire des sciences et des techniques",85
"2014",73,"Cultures et langues régionales",53
"2014",74,"Sciences et techniques des activités physiques et sportives",809
"2014",76,"Théologie catholique",29
"2014",77,"Théologie protestante",21
"2014",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",46
"2014",81,"Sciences du médicament et des autres produits de santé",125
"2014",82,"Sciences biologiques, fondamentales et cliniques",160
"2014",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",458
"2014",86,"Sciences du médicament et des autres produits de santé",575
"2014",87,"Sciences biologiques, fondamentales et cliniques",415
"2014",99,"Non spécifiée",13129
"2015",0,"Sans discipline",1075
"2015",1,"Droit privé et sciences criminelles",1832
"2015",2,"Droit public",1304
"2015",3,"Histoire du droit et des institutions",265
"2015",4,"Science politique",369
"2015",5,"Sciences économiques",1776
"2015",6,"Sciences de gestion et du management",3826
"2015",7,"Sciences du langage",783
"2015",8,"Langues et littératures anciennes",317
"2015",9,"Langue et littérature française",2051
"2015",10,"Littératures comparées",211
"2015",11,"Etudes anglophones",4032
"2015",12,"Etudes germaniques et scandinaves",625
"2015",13,"Etudes slaves et baltes",149
"2015",14,"Etudes romanes",1450
"2015",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",462
"2015",16,"Psychologie et ergonomie",1337
"2015",17,"Philosophie",523
"2015",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",1096
"2015",19,"Sociologie, démographie",885
"2015",20,"Ethnologie, préhistoire, anthropologie biologique",194
"2015",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",773
"2015",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1548
"2015",23,"Géographie physique, humaine, économique et régionale",866
"2015",24,"Aménagement de l'espace, urbanisme",256
"2015",25,"Mathématiques",2457
"2015",26,"Mathématiques appliquées et applications des mathématiques",1820
"2015",27,"Informatique",3604
"2015",28,"Milieux denses et matériaux",1375
"2015",29,"Constituants élémentaires",1171
"2015",30,"Milieux dilués et optique",632
"2015",31,"Chimie théorique, physique, analytique",1010
"2015",32,"Chimie organique, minérale, industrielle",1275
"2015",33,"Chimie des matériaux",928
"2015",34,"Astronomie, astrophysique",193
"2015",35,"Structure et évolution de la terre et des autres planètes",534
"2015",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",390
"2015",37,"Météorologie, océanographie physique et physique de l'environnement",185
"2015",42,"Morphologie et morphogenèse",382
"2015",43,"Biophysique et imagerie Médecine",334
"2015",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",579
"2015",45,"Microbiologie, maladies transmissibles et hygiène",414
"2015",46,"Santé publique, environnement et société",302
"2015",47,"Cancérologie, génétique, hématologie, immunologie",600
"2015",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",484
"2015",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",386
