"link";"reference";"jobLocation";"datePosted";"employmentType";"duration.months";"workHours";"baseSalary";"educationRequirements";"experienceRequirements"
"https://emploi.cnrs.fr/Offres/CDD/UMR7218-CHAROS-006/Default.aspx";"UMR7218-CHAROS-006";"ST DENIS";"mardi 24 novembre 2020";"CDD Technique/Administratif";"18";"Temps complet";"entre 2511 et 2695 € bruts mensuels selon expérience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5254-SOPPUY-012/Default.aspx";"UMR5254-SOPPUY-012";"PAU";"mardi 24 novembre 2020";"CDD Technique/Administratif";"18";"Temps complet";"1 930 à 2 061€ bruts mensuels selon expérience";"Bac+2";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/MOY600-MATCLA0-008/Default.aspx";"MOY600-MATCLA0-008";"VANDOEUVRE LES NANCY";"mardi 24 novembre 2020";"CDD Technique/Administratif";"12";"Temps incomplet";"entre 800 et 875 € bruts mensuels selon expérience";"Bac / Bac pro";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR8501-MARCHE-001/Default.aspx";"UMR8501-MARCHE-001";"PALAISEAU";"mercredi 25 novembre 2020";"CDD Scientifique";"8";"Temps complet";"entre 2600 et 2800 euros bruts mensuels";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMS2877-JERRIE1-009/Default.aspx";"UMS2877-JERRIE1-009";"VILLENEUVE D ASCQ";"mercredi 25 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"Rémunération entre 2000 et 2500 euros bruts mensuels selon qualification et expérience. Par exmple pour un IE avec - < 3 ans d'expérience, à partir de 2109,55€ brut mensuel,  - 3 à 5 ans, d'expérience : 2228,15€ mensuel.";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR6502-THODEV-003/Default.aspx";"UMR6502-THODEV-003";"NANTES";"mercredi 25 novembre 2020";"CDD Scientifique";"24";"Temps complet";"2675 euros brut";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5266-CATBON-001/Default.aspx";"UMR5266-CATBON-001";"ST MARTIN D HERES";"mercredi 25 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"entre 1614€ et 1705€ (selon expérience)";"Bac / Bac pro";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/USR3394-CARBOR-001/Default.aspx";"USR3394-CARBOR-001";"GRENOBLE";"mercredi 25 novembre 2020";"CDD Technique/Administratif";"8";"Temps complet";"2088 à 2206 euros bruts mensuel selon expérience";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR9002-MARSIM-002/Default.aspx";"UMR9002-MARSIM-002";"MONTPELLIER";"mercredi 25 novembre 2020";"CDD Scientifique";"12";"Temps complet";"entre 2650 euros et 2850 euros bruts par mois selon expérience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UPR8001-ISASEG-002/Default.aspx";"UPR8001-ISASEG-002";"TOULOUSE";"mercredi 25 novembre 2020";"CDD Scientifique";"12";"Temps complet";"Entre 2648 et 3054€ bruts mensuel selon expérience";"Doctorat";"1 à 4 années"
