link;reference;title;jobLocation;datePosted;employmentType;duration.months;workHours;baseSalary;Salaire.brut.min;Salaire.brut.max;educationRequirements;experienceRequirements
https://emploi.cnrs.fr/Offres/CDD/SNC6587-BRIBAT-001/Default.aspx;SNC6587-BRIBAT-001;H/F Assistant Ingénieur - Mesures de psychophysique auditive chez l animal en environnement Elphy;PARIS 15;mercredi 17 février 2021;CDD Technique/Administratif;6;Temps complet;2151 euros bruts mensuels;2151;;Bac+3;Indifférent
https://emploi.cnrs.fr/Offres/CDD/FR636-EVEMAG-041/Default.aspx;FR636-EVEMAG-041;INGENIEUR(E) D ETUDES EN INGENIERIE LOGICIELLE  (H/F);PARIS 05;jeudi 18 février 2021;CDD Technique/Administratif;12;Temps complet;A partir de 2151 € brut, et davantage selon expérience;2151;;Bac+3;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR9194-EDIVER-003/Default.aspx;UMR9194-EDIVER-003;H/F Assistant de recherche;PALAISEAU;mercredi 31 mars 2021;CDD Scientifique;12;Temps complet;2139€ Brut;2139;;Bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR8568-ALANAD-001/Default.aspx;UMR8568-ALANAD-001;Alternatives en réseau : la participation citoyenne au financement des énergies renouvelables (H/F);NOGENT SUR MARNE;jeudi 1 avril 2021;CDD Scientifique;8;Temps complet;2135€ brute mensuel selon expérience;2135;;Bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/MOY1000-KEVGEI-002/Default.aspx;MOY1000-KEVGEI-002;Auditeur / Auditrice en matière de finances / comptabilité H/F;STRASBOURG;vendredi 19 mars 2021;CDD Technique/Administratif;12;Temps complet;à partir de 2109,55 euros brut mensuels selon expérience;2109.55;;Bac+3;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7515-JULBER-004/Default.aspx;UMR7515-JULBER-004;Ingénieur(e) CDD en synthèse de matériaux, optimisation et applications en catalyse (H/F);STRASBOURG;mardi 16 février 2021;CDD Technique/Administratif;12;Temps complet;à partir de 2 109,54€ bruts mensuels (selon expériance);2109.54;;Bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR8520-SEBPEC0-001/Default.aspx;UMR8520-SEBPEC0-001;H/F Contrat d ingénieur d étude pour la fabrication de capteurs organiques pour la détection multi-variée de polluants organiques persistants.;VILLENEUVE D ASCQ;lundi 29 mars 2021;CDD Technique/Administratif;36;Temps complet;A partir de 2109 euros bruts mensuels selon expérience.;2109;;Bac+5;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR8520-FRELEF-084/Default.aspx;UMR8520-FRELEF-084;Ingénieur d études en synthèse de nanomatériaux (H/F);VILLENEUVE D ASCQ;lundi 29 mars 2021;CDD Technique/Administratif;12;Temps complet;A partir de 2109 euros bruts mensuels selon expérience.;2109;;Bac+3;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR8520-BILHAF-001/Default.aspx;UMR8520-BILHAF-001;Ingénieur(e) d études :  Recherche et Développement en Micro et Nanotechnologie (H/F);VILLENEUVE D ASCQ;lundi 22 février 2021;CDD Technique/Administratif;12;Temps complet;à partir de 2109 euros bruts mensuels;2109;;Bac+3;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7293-CHRGIO-002/Default.aspx;UMR7293-CHRGIO-002;Ingénieur.e d étude (H/F) en instrumentation;NICE;jeudi 1 avril 2021;CDD Technique/Administratif;12;Temps complet;Salaire minimum de 2100€ brut en fonction de l expérience.;2100;;Bac+3;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR5203-STEBAR-003/Default.aspx;UMR5203-STEBAR-003;H/F Ingénieur-e en technique d expérimentation animale;MONTPELLIER;mardi 16 mars 2021;CDD Technique/Administratif;11;Temps complet;à partir de 2100 euros bruts mensuels;2100;;Bac+4;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR5075-JERGAU-006/Default.aspx;UMR5075-JERGAU-006;Ingénieur(e) d étude microscopie de super-résolution affecté(e) à la PF d imagerie cellulaire de l IBS/ISBG (H/F);GRENOBLE;lundi 15 mars 2021;CDD Technique/Administratif;12;Temps complet;Selon expérience et à partir de 2088 € brut;2088;;Bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR9197-ODILEC2-080/Default.aspx;UMR9197-ODILEC2-080;Assistant-e contrats de recherche H/F;GIF SUR YVETTE;jeudi 1 avril 2021;CDD Technique/Administratif;4;Temps complet;1988 brut mensuel selon expérience;1988;;Bac+2;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7515-JULBER-005/Default.aspx;UMR7515-JULBER-005;Assistant(e) ingénieur en recherche biomédicale (H/F);STRASBOURG;mardi 9 mars 2021;CDD Technique/Administratif;13;Temps complet;1 950,15€ brute mensuelle;1950.15;;Bac+2;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7293-CHRGIO-001/Default.aspx;UMR7293-CHRGIO-001;Assistant.e ingénieur.e (Ingénieur.e accepté.e) H/F en contrôle-commande et ingénierie logicielle;NICE;jeudi 1 avril 2021;CDD Technique/Administratif;12;Temps complet;Salaire minimum de 1950€ brut en fonction de l expérience et du diplôme.;1950;;Bac+2;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7504-CHRMEN-002/Default.aspx;UMR7504-CHRMEN-002;Assistant Ingénieur en instrumentation pour le développement d un spectromètre RMN pour ferromagnétiques H/F;STRASBOURG;mercredi 24 mars 2021;CDD Technique/Administratif;5;Temps complet;à partir de 1950 € brut/mois (selon expérience);1950;;Bac+2;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UPR3212-JULQUI-009/Default.aspx;UPR3212-JULQUI-009;Assistant(e) Ingénieur(e) en biologie animale H/F;STRASBOURG;lundi 8 mars 2021;CDD Technique/Administratif;6;Temps complet;A partir de 1950 €/ brut mensuel selon expérience;1950;;Bac+2;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/MOY1300-CHRMOR-008/Default.aspx;MOY1300-CHRMOR-008;Acheteur/se et gestionnaire marchés publics_H/F;MONTPELLIER;vendredi 19 février 2021;CDD Technique/Administratif;9;Temps complet;A partir de 1950,00 Euros bruts mensuels selon expérience;1950;;Bac+2;Indifférent
https://emploi.cnrs.fr/Offres/CDD/MOY1300-CHRMOR-009/Default.aspx;MOY1300-CHRMOR-009;H/F Assistant(e) en gestion administrative et financière;MONTPELLIER;vendredi 19 février 2021;CDD Technique/Administratif;9;Temps complet;Environ 1950 euros bruts mensuel;1950;;Bac+2;Indifférent
