Academie;Annee;Solde.mutation.PR;Solde.mutation.MCF;Solde.mutation.total
Clermont-Ferrand;2013;-3;1;-2
Corse;2013;;;0
Créteil;2013;4;2;6
Dijon;2013;-2;-1;-3
Grenoble;2013;-3;-4;-7
Guadeloupe;2013;;;0
Guyane;2013;;;0
Hors académie;2013;;1;1
La Réunion;2013;-1;-1;-2
Lille;2013;-14;-5;-19
Limoges;2013;;-1;-1
Lyon;2013;3;7;10
Montpellier;2013;6;4;10
Nancy-Metz;2013;-9;1;-8
Nantes;2013;-2;-5;-7
Nice;2013;3;;3
Orléans-Tours;2013;-4;-8;-12
Paris;2013;37;1;38
Poitiers;2013;-6;2;-4
Reims;2013;-2;;-2
Rennes;2013;-7;2;-5
Rouen;2013;-4;-2;-6
Strasbourg;2013;2;-3;-1
Toulouse;2013;-2;3;1
Versailles;2013;7;8;15
Aix-Marseille;2014;4;1;5
Amiens;2014;-5;-1;-6
Besançon;2014;-4;0;-4
Bordeaux;2014;-1;0;-1
Caen;2014;0;0;0
Clermont-Ferrand;2014;0;0;0
Corse;2014;0;0;0
Créteil;2014;1;-2;-1
Dijon;2014;-1;0;-1
Grenoble;2014;-4;3;-1
Guadeloupe;2014;;;0
Guyane;2014;;;0
Hors académie;2014;1;1;2
La Réunion;2014;0;0;0
Lille;2014;-8;-8;-16
Limoges;2014;0;0;0
Lyon;2014;0;0;0
Montpellier;2014;5;2;7
Nancy-Metz;2014;-1;-3;-4
Nantes;2014;-1;1;0
Nice;2014;0;2;2
Orléans-Tours;2014;-8;-2;-10
Paris;2014;37;9;46
Poitiers;2014;-4;1;-3
Reims;2014;-1;-3;-4
Rennes;2014;-3;1;-2
Rouen;2014;-1;0;-1
Strasbourg;2014;0;1;1
Toulouse;2014;3;1;4
Versailles;2014;-6;-4;-10
Aix-Marseille;2015;1;0;1
Amiens;2015;0;-1;-1
Besançon;2015;-3;-3;-6
Bordeaux;2015;0;2;2
Caen;2015;-5;-1;-6
Clermont-Ferrand;2015;-3;-1;-4
Corse;2015;1;0;1
Créteil;2015;1;-3;-2
Dijon;2015;-1;2;1
Grenoble;2015;0;2;2
Guadeloupe;2015;0;-1;-1
Guyane;2015;;;0
Hors académie;2015;0;1;1
La Réunion;2015;-1;3;2
Lille;2015;-4;-3;-7
Limoges;2015;0;2;2
Lyon;2015;4;-4;0
Montpellier;2015;-2;4;2
Nancy-Metz;2015;-8;-4;-12
Nantes;2015;-6;1;-5
Nice;2015;0;-2;-2
Orléans-Tours;2015;-1;-2;-3
Paris;2015;28;11;39
Poitiers;2015;-1;-3;-4
Reims;2015;-3;-2;-5
Rennes;2015;-5;2;-3
Rouen;2015;-4;0;-4
Strasbourg;2015;1;-1;0
Toulouse;2015;2;2;4
Versailles;2015;9;-1;8
Aix-Marseille;2016;4;1;5
Amiens;2016;-1;-2;-3
Besançon;2016;-1;-3;-4
Bordeaux;2016;1;5;6
Caen;2016;1;-1;0
Clermont-Ferrand;2016;2;0;2
Corse;2016;0;1;1
Créteil;2016;5;-4;1
Dijon;2016;-4;-4;-8
Grenoble;2016;-3;2;-1
Guadeloupe;2016;-1;-4;-5
Guyane;2016;;;0
Hors académie;2016;;;0
La Réunion;2016;-1;0;-1
Lille;2016;-3;-3;-6
Limoges;2016;0;-1;-1
Lyon;2016;1;5;6
Montpellier;2016;2;4;6
Nancy-Metz;2016;-7;-3;-10
Nantes;2016;0;4;4
Nice;2016;-1;1;0
Orléans-Tours;2016;-2;2;0
Paris;2016;31;2;33
Poitiers;2016;-6;-5;-11
Reims;2016;-4;-3;-7
Rennes;2016;-8;-1;-9
Rouen;2016;-5;-1;-6
Strasbourg;2016;-1;-2;-3
Toulouse;2016;-2;5;3
Versailles;2016;3;5;8
Aix-Marseille;2017;2;3;5
Amiens;2017;-2;-1;-3
Besançon;2017;-3;-2;-5
Bordeaux;2017;-1;0;-1
Caen;2017;-2;-2;-4
Clermont-Ferrand;2017;-1;0;-1
Corse;2017;1;-1;0
Créteil;2017;0;-5;-5
Dijon;2017;-2;-1;-3
Grenoble;2017;-5;1;-4
Guadeloupe;2017;;;0
Guyane;2017;;;0
Hors académie;2017;0;-1;-1
La Réunion;2017;-2;1;-1
Lille;2017;-8;4;-4
Limoges;2017;-2;0;-2
Lyon;2017;4;2;6
Montpellier;2017;4;1;5
Nancy-Metz;2017;-3;1;-2
Nantes;2017;2;-1;1
Nice;2017;0;-1;-1
Orléans-Tours;2017;-4;-3;-7
Paris;2017;30;4;34
Poitiers;2017;-5;-1;-6
Reims;2017;-3;-3;-6
Rennes;2017;-2;3;1
Rouen;2017;-2;-2;-4
Strasbourg;2017;1;-2;-1
Toulouse;2017;0;9;9
Versailles;2017;3;-3;0
Aix-Marseille;2018;1;1;2
Amiens;2018;-3;-7;-10
Besançon;2018;-1;0;-1
Bordeaux;2018;2;4;6
Caen;2018;-1;-2;-3
Clermont-Ferrand;2018;-2;0;-2
Corse;2018;0;-2;-2
Créteil;2018;-4;-5;-9
Dijon;2018;-2;-2;-4
Grenoble;2018;3;1;4
Guadeloupe;2018;;;0
Guyane;2018;;;0
Hors académie;2018;0;0;0
La Réunion;2018;-2;-1;-3
Lille;2018;-10;-7;-17
Limoges;2018;-2;0;-2
Lyon;2018;-5;2;-3
Montpellier;2018;2;3;5
Nancy-Metz;2018;-3;-7;-10
Nantes;2018;0;1;1
Nice;2018;5;3;8
Orléans-Tours;2018;-1;-2;-3
Paris;2018;31;10;41
Poitiers;2018;0;-2;-2
Reims;2018;-3;0;-3
Rennes;2018;-2;11;9
Rouen;2018;-1;-1;-2
Strasbourg;2018;-4;6;2
Toulouse;2018;-1;-2;-3
Versailles;2018;3;-2;1
Aix-Marseille;2019;9;3;12
Amiens;2019;0;-2;-2
Besançon;2019;-1;0;-1
Bordeaux;2019;1;0;1
Caen;2019;0;-1;-1
Clermont-Ferrand;2019;0;-1;-1
Corse;2019;0;-2;-2
Créteil;2019;-2;-3;-5
Dijon;2019;-1;-2;-3
Grenoble;2019;-1;0;-1
Guadeloupe;2019;-1;-1;-2
Guyane;2019;-1;0;-1
Hors académie;2019;-2;0;-2
La Réunion;2019;;;0
Lille;2019;-5;-5;-10
Limoges;2019;0;0;0
Lyon;2019;-4;-1;-5
Montpellier;2019;3;3;6
Nancy-Metz;2019;-2;-5;-7
Nantes;2019;-3;1;-2
Nice;2019;-6;0;-6
Orléans-Tours;2019;-1;-1;-2
Paris;2019;26;16;42
Poitiers;2019;0;-2;-2
Reims;2019;-2;-1;-3
Rennes;2019;0;1;1
Rouen;2019;-5;0;-5
Strasbourg;2019;-2;2;0
Toulouse;2019;-2;-1;-3
Versailles;2019;2;2;4
